
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       133      1154038          7280       1073749          6593        693102         19359
       176      1295711          2459       1200079          2636        768954         11993
       224      1263007          3139       1165726          2797        772164         13617
       260      1281122          3060       1187556          2547        783177         10648
       303      1285642          3059       1195134          2570        773918         10109
       341      1282587          2773       1189513          2198        766665         10987
       383      1286017          2854       1184498          2889        781036          9674
       423      1240038          3317       1189922          2439        746167          8678
       465      1296723          3044       1190353          2748        774566          8625
       503      1287107          2991       1184677          2387        774615          8022
       543      1157749          2894       1075881          2649        711567          7998
       590       927303          3324        850505          2827        559270          8846
       753       557677          9826        511324          8552        339995         31145
       983       167848         14453        153350         13507        101856         50892
      1218       118316         15185        107574         13843         69647         40391
      1430        97606         14299         88446         12200         58423         37779
      1625        89963         14073         81464         12549         54367         32605
      1814        80302         13611         73129         11389         50132         33723
      2021        75882         13186         69385         11761         45385         32687
      2197        73507         12091         67416         11118         43412         32618
      2379        65184         12932         59147         10817         40840         31458
      2550        63760         11812         58077         10293         38269         30317
      2772        65489         14503         59501         13073         38177         41251
      2980        64996         13736         58694         11992         39232         43030
      3159        59800         13185         53864         11055         33787         31076
      3363        61420         14179         55352         12595         35448         35166
      3558        57344         13447         51461         12261         34000         37248
      3763        53931         13116         48316         11525         33214         35130
      3932        55138         11810         49302         10057         32761         31875
      4114        59280         11700         52961         10386         34128         34582

Final score for writes:          4114
Final score for reads :        212186

