
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       104      1084593          5943       1080320          5524        559050         29688
       136      1304241          2359       1292025          1806        649968         12858
       167      1271037          2562       1275702          2182        650012         12790
       196      1297959          1959       1283863          1940        653084         11433
       226      1262322          2190       1278276          1914        646965         11025
       256      1301293          1953       1286086          1639        658206          9768
       288      1291807          2221       1240697          2070        646389          9540
       318      1301394          2060       1286072          1695        655989          8949
       346      1308812          2187       1291949          1794        668497          7518
       371      1307971          2026       1290315          1508        672178          7755
       395      1304168          1633       1285853          1549        668771          9067
       431      1280009          2392       1255433          1797        653675          8785
       462      1204862          2488       1185483          1848        616252          8100
       499       949121          2622        911037          2158        485677          8804
       607       459608          8203        452725          6642        242895         40536
       723       173083          9713        169702          7966         87536         53386
       845       110939          8477        108674          7093         58944         46239
       947        86229          8658         84242          7324         46420         49416
      1061        74678          7413         73176          7186         39819         47492
      1165        70192          7339         68638          6807         37057         40039
      1273        62982          8410         61590          7054         34037         41299
      1373        61941          7887         60572          5927         32232         47240
      1477        57332          7283         56122          6147         32612         41731
      1576        55158          6597         53941          5875         30418         41646
      1671        55420          8191         54213          6450         28814         41408
      1774        51129          7624         49933          6209         28897         40419
      1864        49654          6982         48382          6029         27098         40796
      1957        50612          7652         49405          6232         24363         40092
      2049        45646          6906         44366          5884         25486         37619
      2130        46765          6096         45686          5130         25002         34547

Final score for writes:          2130
Final score for reads :        198626

