
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       105      1111201          5655       1096507          5270        559426         28929
       152      1240715          2870       1223014          2563        653827         18157
       189      1293418          2150       1271875          2029        663859         11509
       219      1288672          2161       1266957          1920        674801         11355
       245      1275504          2285       1277501          1766        661866         10082
       284      1297877          2135       1251874          2256        673498          9364
       309      1321395          1637       1295890          1767        671919          7509
       338      1309881          2152       1284772          1779        678486          8359
       363      1313369          1996       1284879          1605        678792          8423
       396      1298442          2171       1269552          1934        684535          8517
       427      1301198          2574       1269860          1781        675055          7845
       455      1263871          2357       1233754          2032        665507          7718
       492      1074397          2429       1048401          2247        566202          8171
       535       836820          2684        810543          2962        441182         10710
       684       259649         10598        252969          8968        141253         54162
       811       141614          8400        137957          7917         74270         43496
       947       103232          9543        100140          7931         56834         51626
      1073        89049          8858         86439          7813         47474         45079
      1214        80065         10455         77843          7420         42733         42874
      1325        71062          8098         69040          7485         41524         39480
      1430        66578          8158         64728          6390         35232         38798
      1541        61182          8829         59120          7203         37070         41828
      1641        57291          7882         55702          6570         30843         36223
      1737        55063          7361         53427          6287         31702         35348
      1840        58673          8546         56721          7183         34456         41799
      1955        55715          8802         53938          6992         29716         40253
      2066        52623          7972         50846          6944         28794         38298
      2162        51302          7510         49737          5895         29579         36527
      2245        48884          6672         47218          5610         25602         31556
      2358        52011          7903         49977          6998         26917         39830

Final score for writes:          2358
Final score for reads :        198675

