
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       277      1360023         14600        938911         14851        604706         25408
       361      1484312          5305       1026186          4725        726012         13274
       445      1473589          5486       1016343          4299        762156         12883
       527      1456595          5244        992056          4952        766352         13174
       613      1420387          5563       1010705          5060        748136         12239
       699      1475393          5078        999173          5105        752614         11585
       785      1423737          5444       1018267          4919        744446         11445
       866      1439245          5393       1002684          4446        722812         11376
       937      1292311          4642        900322          4079        660005         10015
      1014      1093363          4629        756770          4874        550730         11009
      1106       874586          5818        615668          5317        445278         12383
      1435       455225         19605        323216         19555        227969         48074
      1959       177224         30576        123260         28945         96651         74110
      2497       114184         32000         80501         28973         60519         64043
      3050        89435         31598         62512         28653         45956         54441
      3574        81123         29095         55761         29222         40007         53645
      4069        76121         29884         52377         27891         35151         49449
      4532        72164         29139         51993         25653         33734         48989
      4921        72201         25151         47814         22046         34333         58302
      5271        69523         23538         47995         20783         36208         56470
      5549        70187         20866         48557         17543         35142         47779
      5859        70417         22966         49261         18915         34211         51750
      6184        68132         23184         47726         19125         33842         54899
      6492        63378         22353         44260         20275         31588         52552
      6780        61465         20314         43359         17567         32223         48863
      7076        62061         19989         42699         18158         35540         49217
      7360        65453         18912         45112         17600         32991         49205
      7683        60217         19740         42336         17730         34066         52056
      7971        64906         19641         45595         16833         33723         46924
      8266        61766         18808         43789         16964         33532         48205

Final score for writes:          8266
Final score for reads :        335491

