
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        98      1119413          6190       1096047          5637        598629         28457
       136      1260125          2557       1256604          2287        699392         15576
       170      1295172          2530       1267756          2010        698055         11895
       206      1296561          1979       1266719          2100        701469         12183
       244      1288556          2696       1254055          1961        702413          9705
       277      1294198          2564       1260896          1914        705059          9877
       306      1299609          2117       1265626          1674        707960          9663
       337      1295082          2402       1274779          1682        706578          8473
       371      1293204          2792       1208888          1799        695224          9436
       399      1311634          2180       1270906          1766        709055          7460
       435      1290770          2536       1249630          2050        697662          9111
       467      1286524          2512       1245582          1950        693444          7831
       504      1095180          2392       1060737          2008        607565          8652
       546       846644          2897        818715          2903        459012         10091
       708       336725         10198        325044          9566        185111         49834
       892       141177         12666        135768         10143         73912         50571
      1038       102680         10329         98314          8870         59418         50658
      1205        87756         11233         84241          9944         45916         41801
      1350        80127         10869         76626          9279         46046         42792
      1484        70616         10538         67685          8213         38635         36984
      1626        69375         10550         66767          9159         36065         41756
      1773        67591         10406         65025          9024         38447         40618
      1902        62225          9952         59799          8223         34550         40595
      2034        58472          9248         55961          7816         33071         37220
      2140        58140          7361         55877          6823         32041         36443
      2260        57553          8943         55003          7255         32949         35640
      2380        55828          7951         53252          7181         31198         34699
      2496        53666          8051         51231          7469         30292         38004
      2616        51766          8599         49222          7706         28789         35142
      2731        50010          9215         47707          7213         30007         35739

Final score for writes:          2731
Final score for reads :        208657

