
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       130      1126057          7136       1076090          6816        646382         20032
       164      1299193          2641       1211412          2080        744187         12395
       204      1281027          2637       1229765          2293        723217         13212
       242      1296669          2897       1240270          2263        731653         10477
       275      1289726          2760       1235175          2296        717697         10735
       310      1286776          2630       1229025          2331        731213         10416
       342      1299734          2826       1242641          2141        715979          9358
       378      1286290          2534       1246405          1854        724977          8626
       412      1312456          2123       1248855          1782        735907          7815
       444      1294070          2457       1240307          2328        725266          8627
       482      1286230          2504       1222224          2203        723612          7886
       521      1154194          2732       1053447          2122        657262          8055
       569       883794          2795        839232          2818        506054          9702
       695       555085          8287        525817          7630        316356         30228
       904       186900         14076        175618         12095        107607         49648
      1058       118065         11852        110815          9666         65207         41983
      1283        90967         13869         85721         12330         52896         48346
      1452        83974         12628         79065         10077         48952         39770
      1627        77008         10893         72491          9529         44902         33959
      1814        77218         13052         72291         11675         43303         44413
      1993        71199         10819         66948         10337         39865         41240
      2130        63423          9973         59850          8766         36622         34270
      2274        61366         11603         57479          9209         36672         35034
      2421        56765         10219         53235          8695         34500         34611
      2564        57360         11081         53831          9213         34176         37896
      2718        60280         11703         55788          9341         36373         37159
      2846        55761          8965         51850          7982         31915         34914
      2989        55204         10025         51709          8724         32467         33843
      3114        53469          9171         50402          7472         30079         30586
      3277        57659         11337         53453          9639         31419         38077

Final score for writes:          3277
Final score for reads :        210253

