   Operation      Sample         Ops
sembench-futex-2       0            1   365778.00
sembench-futex-5       0            1   324914.00
sembench-futex-8       0            1   310180.00
sembench-futex-12      0            1   328144.00
sembench-futex-21      0            1   351494.00
sembench-futex-30      0            1   367494.00
sembench-futex-48      0            1   282427.00
sembench-futex-79      0            1   215561.00
sembench-futex-110     0            1   226015.00
sembench-futex-141     0            1   201326.00
sembench-futex-172     0            1   205128.00
sembench-futex-203     0            1   201548.00
sembench-futex-234     0            1   201882.00
sembench-futex-265     0            1   199045.00
sembench-futex-296     0            1   199075.00
sembench-futex-327     0            1   198817.00
sembench-futex-358     0            1   200075.00
sembench-futex-389     0            1   198316.00
sembench-futex-420     0            1   199376.00
sembench-futex-451     0            1   198758.00
sembench-futex-482     0            1   198445.00
sembench-futex-513     0            1   199532.00
sembench-futex-544     0            1   200187.00
sembench-futex-575     0            1   199533.00
sembench-futex-606     0            1   199247.00
sembench-futex-637     0            1   198558.00
sembench-futex-668     0            1   200054.00
sembench-futex-699     0            1   199423.00
sembench-futex-730     0            1   199107.00
sembench-futex-761     0            1   200177.00
sembench-futex-792     0            1   200550.00
sembench-futex-823     0            1   202469.00
sembench-futex-854     0            1   202187.00
sembench-futex-885     0            1   202282.00
sembench-futex-916     0            1   200913.00
sembench-futex-947     0            1   199966.00
sembench-futex-978     0            1   202617.00
sembench-futex-1009    0            1   201158.00
sembench-futex-1040    0            1   202362.00
sembench-futex-1071    0            1   201689.00
sembench-futex-1102    0            1   201659.00
sembench-futex-1133    0            1   202353.00
sembench-futex-1164    0            1   202439.00
sembench-futex-1195    0            1   200742.00
sembench-futex-1226    0            1   202949.00
sembench-futex-1257    0            1   203346.00
sembench-futex-1288    0            1   203208.00
sembench-futex-1319    0            1   204256.00
sembench-futex-1350    0            1   204175.00
sembench-futex-1381    0            1   203963.00
sembench-futex-1412    0            1   203514.00
sembench-futex-1443    0            1   204581.00
sembench-futex-1474    0            1   204362.00
sembench-futex-1505    0            1   203227.00
sembench-futex-1536    0            1   203014.00
sembench-futex-1567    0            1   203852.00
sembench-futex-1598    0            1   204007.00
sembench-futex-1629    0            1   204826.00
sembench-futex-1660    0            1   201148.00
sembench-futex-1691    0            1   203685.00
sembench-futex-1722    0            1   203389.00
sembench-futex-1753    0            1   203611.00
sembench-futex-1784    0            1   204379.00
sembench-futex-1815    0            1   201938.00
sembench-futex-1846    0            1   203212.00
