   Operation         Lat
50.0th-qrtle-1   0        11.00
75.0th-qrtle-1   0        13.00
90.0th-qrtle-1   0        15.00
95.0th-qrtle-1   0        15.00
99.0th-qrtle-1   0        18.00
99.5th-qrtle-1   0        19.00
99.9th-qrtle-1   0        92.00
50.0th-qrtle-2   0        14.00
75.0th-qrtle-2   0        16.00
90.0th-qrtle-2   0        17.00
95.0th-qrtle-2   0        18.00
99.0th-qrtle-2   0        21.00
99.5th-qrtle-2   0        26.00
99.9th-qrtle-2   0        92.00
50.0th-qrtle-4   0        17.00
75.0th-qrtle-4   0        20.00
90.0th-qrtle-4   0        22.00
95.0th-qrtle-4   0        24.00
99.0th-qrtle-4   0        28.00
99.5th-qrtle-4   0        34.00
99.9th-qrtle-4   0       117.00
50.0th-qrtle-8   0        25.00
75.0th-qrtle-8   0        31.00
90.0th-qrtle-8   0        35.00
95.0th-qrtle-8   0        38.00
99.0th-qrtle-8   0        43.00
99.5th-qrtle-8   0        47.00
99.9th-qrtle-8   0        72.00
50.0th-qrtle-16  0        40.00
75.0th-qrtle-16  0        54.00
90.0th-qrtle-16  0        64.00
95.0th-qrtle-16  0        69.00
99.0th-qrtle-16  0        80.00
99.5th-qrtle-16  0        92.00
99.9th-qrtle-16  0      1838.00
50.0th-qrtle-32  0        72.00
75.0th-qrtle-32  0       103.00
90.0th-qrtle-32  0       124.00
95.0th-qrtle-32  0       136.00
99.0th-qrtle-32  0       175.00
99.5th-qrtle-32  0      1546.00
99.9th-qrtle-32  0     10000.00
50.0th-qrtle-39  0        91.00
75.0th-qrtle-39  0       131.00
90.0th-qrtle-39  0       160.00
95.0th-qrtle-39  0       174.00
99.0th-qrtle-39  0       214.00
99.5th-qrtle-39  0      2188.00
99.9th-qrtle-39  0     13488.00
