   Operation      Sample         Ops
task-4-p6       0           12      420.00
task-4-p6       0           13      421.00
task-4-p6       0           14      408.00
task-4-p6       0           15      378.00
task-4-p6       0           16      428.00
task-4-p6       0           17      411.00
task-4-p6       0           18      380.00
task-4-p6       0           19      425.00
task-4-p6       0           20      424.00
task-4-p6       0           21      433.00
task-4-p6       0           22      389.00
task-4-p6       0           23      437.00
task-4-p6       0           24      419.00
task-4-p6       0           25      440.00
task-4-p6       0           26      394.00
task-4-p6       0           27      403.00
task-4-p6       0           28      413.00
task-4-p6       0           29      394.00
task-4-p6       0           30      428.00
task-4-p6       0           31      425.00
task-4-p6       0           32      376.00
task-4-p6       0           33      363.00
task-4-p6       0           34      431.00
task-4-p6       0           35      376.00
task-4-p6       0           36      379.00
task-4-p6       0           37      431.00
task-4-p6       0           38      430.00
task-4-p6       0           39      426.00
task-4-p6       0           40      437.00
task-4-p6       0           41      382.00
task-4-p6       0           42      439.00
task-4-p6       0           43      398.00
task-4-p6       0           44      382.00
task-4-p6       0           45      401.00
task-4-p6       0           46      391.00
task-4-p6       0           47      374.00
task-4-p6       0           48      377.00
task-4-p6       0           49      391.00
task-4-p6       0           50      378.00
task-5-p7       0            1    20214.00
task-5-p7       0            2      604.00
task-5-p7       0            3      435.00
task-5-p7       0            4      426.00
task-5-p7       0            5      417.00
task-5-p7       0            6      421.00
task-5-p7       0            7      388.00
task-5-p7       0            8      411.00
task-5-p7       0            9      405.00
task-5-p7       0           10      387.00
task-5-p7       0           11      447.00
task-5-p7       0           12      418.00
task-5-p7       0           13      425.00
task-5-p7       0           14      408.00
task-5-p7       0           15      377.00
task-5-p7       0           16      428.00
task-5-p7       0           17      411.00
task-5-p7       0           18      380.00
task-5-p7       0           19      425.00
task-5-p7       0           20      424.00
task-5-p7       0           21      435.00
task-5-p7       0           22      390.00
task-5-p7       0           23      437.00
task-5-p7       0           24      416.00
task-5-p7       0           25      440.00
task-5-p7       0           26      393.00
task-5-p7       0           27      403.00
task-5-p7       0           28      412.00
task-5-p7       0           29      394.00
task-5-p7       0           30      425.00
task-5-p7       0           31      425.00
task-5-p7       0           32      376.00
task-5-p7       0           33      363.00
task-5-p7       0           34      431.00
task-5-p7       0           35      373.00
task-5-p7       0           36      385.00
task-5-p7       0           37      431.00
task-5-p7       0           38      430.00
task-5-p7       0           39      426.00
task-5-p7       0           40      432.00
task-5-p7       0           41      384.00
task-5-p7       0           42      439.00
task-5-p7       0           43      397.00
task-5-p7       0           44      380.00
task-5-p7       0           45      376.00
task-5-p7       0           46      391.00
task-5-p7       0           47      373.00
task-5-p7       0           48      375.00
task-5-p7       0           49      391.00
