   Operation      Sample         Ops
32  0          128      144.50
32  0          132       74.00
32  0          136       69.25
32  0          140      143.50
32  0          144       79.50
32  0          148       81.50
32  0          152      136.75
32  0          156       75.50
32  0          160       77.25
32  0          164      139.50
32  0          168       76.75
32  0          172       81.00
32  0          176      136.25
32  0          180       85.00
32  0          184       87.75
32  0          188      120.00
32  0          192       87.00
32  0          196       85.75
32  0          200      105.00
32  0          204       72.00
32  0          208       92.50
32  0          212      111.50
32  0          216       78.75
32  0          220       87.75
32  0          224      118.25
32  0          228       69.75
32  0          232       89.25
32  0          236      118.75
32  0          240       70.25
32  0          244       94.25
32  0          248      115.75
32  0          252       83.50
32  0          256       97.50
32  0          260      105.75
32  0          264       74.50
32  0          268      104.25
32  0          272      108.00
32  0          276       79.50
32  0          280      100.75
32  0          284      105.50
32  0          288       74.50
32  0          292      100.75
32  0          296      116.25
48  0           12       78.00
48  0           16      112.00
48  0           20       96.00
48  0           24       73.75
48  0           28      111.50
48  0           32       97.50
48  0           36       81.00
48  0           40      105.75
48  0           44       98.25
48  0           48       86.00
48  0           52      131.50
48  0           56       87.00
48  0           60       71.00
48  0           64      146.75
48  0           68       84.25
48  0           72       76.50
48  0           76      140.75
48  0           80       83.75
48  0           84       67.00
48  0           88      136.00
48  0           92       83.00
48  0           96       80.75
48  0          100      135.50
48  0          104       87.50
48  0          108       85.00
48  0          112      140.25
48  0          116       84.75
48  0          120       97.00
48  0          124      119.50
48  0          128       81.50
48  0          132       81.50
48  0          136       95.75
48  0          140       95.50
48  0          144      100.50
48  0          148      104.75
48  0          152       76.00
48  0          156      116.00
48  0          160      108.25
48  0          164       82.25
48  0          168      131.25
48  0          172       92.25
48  0          176       75.50
48  0          180      132.25
48  0          184       87.50
48  0          188       73.50
48  0          192      142.00
48  0          196       82.75
48  0          200       73.50
48  0          204      129.25
48  0          208       75.25
48  0          212       82.00
48  0          216      135.00
48  0          220       71.75
48  0          224       91.00
48  0          228      124.25
48  0          232       75.50
48  0          236       89.75
48  0          240      124.50
48  0          244       81.00
48  0          248      102.75
48  0          252      104.25
48  0          256       89.75
48  0          260       91.75
48  0          264      126.00
48  0          268       82.25
48  0          272       95.00
48  0          276      125.75
48  0          280       80.00
48  0          284      105.50
48  0          288      116.75
48  0          292       79.75
48  0          296      107.50
80  0           12       92.25
80  0           16       80.75
80  0           20      121.50
80  0           24       83.00
80  0           28       84.75
80  0           32      132.25
80  0           36       69.50
80  0           40       92.75
80  0           44      124.00
80  0           48       71.75
80  0           52       89.75
80  0           56      128.00
80  0           60       68.75
80  0           64      101.25
80  0           68      117.50
80  0           72       78.25
80  0           76       99.75
80  0           80       72.50
80  0           84       72.75
80  0           88      106.00
80  0           92      100.75
80  0           96       83.00
80  0          100      133.50
80  0          104       90.75
80  0          108       70.25
80  0          112      136.50
80  0          116       77.50
80  0          120       92.00
80  0          124      135.75
80  0          128       63.50
80  0          132       97.00
80  0          136      122.75
80  0          140       80.50
80  0          144       93.50
80  0          148      120.00
80  0          152       79.00
80  0          156      107.50
80  0          160      103.00
80  0          164       84.75
80  0          168      125.25
80  0          172       87.25
80  0          176       62.75
80  0          180      131.75
80  0          184       83.75
80  0          188       80.50
80  0          192      140.75
80  0          196       79.25
80  0          200       88.50
80  0          204      129.50
80  0          208       75.00
80  0          212      114.00
80  0          216      114.75
80  0          220       77.25
80  0          224      111.50
80  0          228       94.00
80  0          232       76.75
80  0          236      123.00
80  0          240       84.00
80  0          244       77.25
80  0          248      125.25
80  0          252       88.50
80  0          256       69.25
80  0          260      137.25
80  0          264       83.00
80  0          268       81.00
80  0          272      142.00
80  0          276       77.25
80  0          280       95.00
80  0          284      137.25
80  0          288       82.25
80  0          292      108.50
80  0          296      128.75
112 0           12       80.50
112 0           16      121.00
112 0           20       77.75
112 0           24       81.25
112 0           28      122.00
112 0           32       84.25
112 0           36       77.00
112 0           40      141.00
112 0           44       69.75
112 0           48       80.75
112 0           52      133.50
112 0           56       83.00
112 0           60       97.00
112 0           64      125.25
112 0           68       79.75
112 0           72      115.00
112 0           76      110.25
112 0           80       75.50
112 0           84      119.00
112 0           88       88.75
112 0           92       70.50
112 0           96      150.75
112 0          100       74.75
112 0          104       85.00
112 0          108      144.25
112 0          112       78.00
112 0          116       96.75
112 0          120      118.25
112 0          124       55.75
112 0          128       65.25
112 0          132      154.75
112 0          136       59.75
112 0          140       64.25
112 0          144      123.50
112 0          148       88.50
112 0          152       69.00
112 0          156      104.50
112 0          160      112.75
112 0          164       61.75
112 0          168       85.25
112 0          172      140.50
112 0          176       56.75
112 0          180       53.75
112 0          184      125.75
112 0          188       84.25
112 0          192       66.50
112 0          196      149.75
112 0          200       63.75
112 0          204       54.25
112 0          208      117.50
112 0          212      101.25
112 0          216       89.25
112 0          220      120.25
112 0          224      101.50
112 0          228       60.25
112 0          232      136.25
112 0          236       82.50
112 0          240       86.00
112 0          244      139.75
112 0          248      102.25
112 0          252       84.00
112 0          256      119.25
112 0          260       91.00
112 0          264       99.75
112 0          268       95.75
112 0          272       76.25
112 0          276      114.00
112 0          280       91.00
112 0          284       80.50
112 0          288      129.50
112 0          292       87.75
112 0          296       68.75
112 0          300      143.00
144 0           12      122.25
144 0           16       73.25
144 0           20      102.25
144 0           24      107.25
144 0           28       80.75
144 0           32      118.50
144 0           36      103.75
144 0           40       81.00
144 0           44      124.25
144 0           48      100.50
144 0           52       76.50
144 0           56      144.00
144 0           60       76.75
144 0           64       93.50
144 0           68      138.00
144 0           72       85.00
144 0           76      100.75
144 0           80      114.75
144 0           84       77.50
144 0           88      100.75
144 0           92      110.25
144 0           96       85.50
144 0          100      115.25
144 0          104       92.00
144 0          108       57.75
144 0          112       94.00
144 0          116      101.50
144 0          120       54.50
144 0          124       69.75
144 0          128      138.25
144 0          132       56.50
144 0          136       66.75
144 0          140      128.25
144 0          144       80.25
144 0          148       58.00
144 0          152      116.50
