   Operation      Sample     Latency
2-i4-d0    0            3   736059.00
2-i64-d0   0            1   448188.20
2-i64-d0   0            2   444784.00
2-i64-d0   0            3   439934.00
2-i8-d0    0            1   798295.80
2-i8-d0    0            2   805733.60
2-i8-d0    0            3   796583.20
20-i1-d0   0            1  3860849.00
20-i1-d0   0            2  3766161.40
20-i1-d0   0            3  3895679.60
20-i128-d0 0            1  1865543.00
20-i128-d0 0            2  1859947.40
20-i128-d0 0            3  1850365.60
20-i16-d0  0            1  3945673.40
20-i16-d0  0            2  3915156.80
20-i16-d0  0            3  3948101.80
20-i2-d0   0            1  5232301.20
20-i2-d0   0            2  5175380.80
20-i2-d0   0            3  5198475.60
20-i32-d0  0            1  2471599.00
20-i32-d0  0            2  2484556.80
20-i32-d0  0            3  2479292.20
20-i4-d0   0            1  6575994.40
20-i4-d0   0            2  6450759.60
20-i4-d0   0            3  6574798.60
20-i64-d0  0            1  1671360.80
20-i64-d0  0            2  1665540.60
20-i64-d0  0            3  1674456.00
20-i8-d0   0            1  5239184.80
20-i8-d0   0            2  5234682.40
20-i8-d0   0            3  5276494.20
26-i1-d0   0            1  5172894.80
26-i1-d0   0            2  5346641.80
26-i1-d0   0            3  5279772.20
26-i128-d0 0            1  2227925.80
26-i128-d0 0            2  2255762.40
26-i128-d0 0            3  2248083.20
26-i16-d0  0            1  4534872.20
26-i16-d0  0            2  4494357.20
26-i16-d0  0            3  4514355.80
26-i2-d0   0            1  7864851.80
26-i2-d0   0            2  8034892.20
26-i2-d0   0            3  7248388.00
26-i32-d0  0            1  2716485.80
26-i32-d0  0            2  2645505.00
26-i32-d0  0            3  2656225.80
26-i4-d0   0            1  8021456.60
26-i4-d0   0            2  8332202.00
26-i4-d0   0            3  8110118.40
26-i64-d0  0            1  2151682.00
26-i64-d0  0            2  2139579.80
26-i64-d0  0            3  2167443.80
26-i8-d0   0            1  6126579.40
26-i8-d0   0            2  6169192.60
26-i8-d0   0            3  6147958.60
32-i1-d0   0            1  5302965.20
32-i1-d0   0            2  5351678.80
32-i1-d0   0            3  5372348.00
32-i128-d0 0            1  2354787.40
32-i128-d0 0            2  2340044.20
32-i128-d0 0            3  2314485.20
32-i16-d0  0            1  4796434.80
32-i16-d0  0            2  4769884.80
32-i16-d0  0            3  4735833.80
32-i2-d0   0            1  6927057.40
32-i2-d0   0            2  6813186.20
32-i2-d0   0            3  6786795.60
32-i32-d0  0            1  2870702.60
32-i32-d0  0            2  2783011.80
32-i32-d0  0            3  2802606.80
32-i4-d0   0            1  8446811.20
32-i4-d0   0            2  8616263.60
32-i4-d0   0            3  8096082.00
32-i64-d0  0            1  2778592.80
32-i64-d0  0            2  2826519.00
32-i64-d0  0            3  2824135.80
32-i8-d0   0            1  6717950.60
32-i8-d0   0            2  6874249.00
32-i8-d0   0            3  6690329.00
38-i1-d0   0            1  6416528.60
38-i1-d0   0            2  6388942.40
38-i1-d0   0            3  6323363.80
38-i128-d0 0            1  3093243.80
38-i128-d0 0            2  3094762.00
38-i128-d0 0            3  3117579.60
38-i16-d0  0            1  4908841.00
38-i16-d0  0            2  4797107.60
38-i16-d0  0            3  4933172.40
38-i2-d0   0            1  8031808.60
38-i2-d0   0            2  8026710.80
38-i2-d0   0            3  7943935.40
38-i32-d0  0            1  2872593.40
38-i32-d0  0            2  2816643.80
38-i32-d0  0            3  2896908.80
38-i4-d0   0            1  7602933.60
38-i4-d0   0            2  7478539.80
38-i4-d0   0            3  6824508.20
38-i64-d0  0            1  3080434.60
38-i64-d0  0            2  3061888.00
38-i64-d0  0            3  3073515.00
38-i8-d0   0            1  6968002.00
38-i8-d0   0            2  7035948.00
38-i8-d0   0            3  6833749.60
4-i1-d0    0            1  1288431.20
4-i1-d0    0            2  1321373.60
4-i1-d0    0            3  1214473.60
4-i128-d0  0            1   659892.00
4-i128-d0  0            2   671157.20
4-i128-d0  0            3   663986.00
4-i16-d0   0            1  1118980.00
4-i16-d0   0            2  1109395.20
4-i16-d0   0            3  1106087.60
4-i2-d0    0            1  1174316.80
4-i2-d0    0            2  1207202.80
4-i2-d0    0            3  1196034.80
4-i32-d0   0            1  1004332.40
4-i32-d0   0            2  1030423.40
4-i32-d0   0            3   988322.40
4-i4-d0    0            1  1529544.40
4-i4-d0    0            2  1549243.80
4-i4-d0    0            3  1536115.60
4-i64-d0   0            1   739030.40
4-i64-d0   0            2   734279.20
4-i64-d0   0            3   737404.40
4-i8-d0    0            1  1419910.20
4-i8-d0    0            2  1416536.40
4-i8-d0    0            3  1381295.20
46-i1-d0   0            1  6816098.20
46-i1-d0   0            2  7030607.20
46-i1-d0   0            3  7287671.20
46-i128-d0 0            1  3305286.00
46-i128-d0 0            2  3324638.00
46-i128-d0 0            3  3300035.80
46-i16-d0  0            1  5031114.00
46-i16-d0  0            2  4938102.40
46-i16-d0  0            3  5073660.00
46-i2-d0   0            1  7810964.40
46-i2-d0   0            2  7284276.60
46-i2-d0   0            3  7611966.80
46-i32-d0  0            1  3728179.40
46-i32-d0  0            2  3776514.20
46-i32-d0  0            3  3707152.80
46-i4-d0   0            1  6649308.00
46-i4-d0   0            2  6580828.40
46-i4-d0   0            3  5775500.80
46-i64-d0  0            1  3232351.00
46-i64-d0  0            2  3189177.20
46-i64-d0  0            3  3227856.00
46-i8-d0   0            1  6606917.40
46-i8-d0   0            2  6654179.00
46-i8-d0   0            3  6429404.60
56-i1-d0   0            1  7752252.40
56-i1-d0   0            2  7846620.60
56-i1-d0   0            3  7795410.00
56-i128-d0 0            1  4019884.60
56-i128-d0 0            2  4056165.40
56-i128-d0 0            3  4042618.00
56-i16-d0  0            1  4820003.80
56-i16-d0  0            2  4873804.40
56-i16-d0  0            3  4872079.80
56-i2-d0   0            1  6894051.40
56-i2-d0   0            2  6804001.60
56-i2-d0   0            3  6362496.00
56-i32-d0  0            1  4345783.20
56-i32-d0  0            2  4345958.80
56-i32-d0  0            3  4335399.00
56-i4-d0   0            1  5858531.60
56-i4-d0   0            2  5864126.40
56-i4-d0   0            3  5252809.60
56-i64-d0  0            1  3998367.60
56-i64-d0  0            2  3947829.60
56-i64-d0  0            3  4000214.40
56-i8-d0   0            1  6247087.40
56-i8-d0   0            2  6258826.00
56-i8-d0   0            3  5947839.40
6-i1-d0    0            1  1430523.80
6-i1-d0    0            2  1331005.20
6-i1-d0    0            3  1237100.20
6-i128-d0  0            1   858449.80
6-i128-d0  0            2   857877.80
6-i128-d0  0            3   872201.40
6-i16-d0   0            1  1459608.40
6-i16-d0   0            2  1496488.60
6-i16-d0   0            3  1497991.40
6-i2-d0    0            1  2636492.40
6-i2-d0    0            2  2849691.80
6-i2-d0    0            3  2660191.60
6-i32-d0   0            1  1337597.60
6-i32-d0   0            2  1358358.20
6-i32-d0   0            3  1374130.80
6-i4-d0    0            1  3239402.60
6-i4-d0    0            2  3016596.40
6-i4-d0    0            3  3336879.20
6-i64-d0   0            1  1063927.20
6-i64-d0   0            2  1053597.60
6-i64-d0   0            3  1066422.80
6-i8-d0    0            1  1820296.00
6-i8-d0    0            2  1853512.00
6-i8-d0    0            3  1811516.00
68-i1-d0   0            1  8273765.60
68-i1-d0   0            2  8626067.40
68-i1-d0   0            3  8288019.40
68-i128-d0 0            1  4598817.00
68-i128-d0 0            2  4805844.60
68-i128-d0 0            3  4631990.60
68-i16-d0  0            1  4879706.20
68-i16-d0  0            2  4804027.00
68-i16-d0  0            3  4887382.00
68-i2-d0   0            1  5867811.20
68-i2-d0   0            2  5782245.40
68-i2-d0   0            3  5339543.40
68-i32-d0  0            1  4478464.60
68-i32-d0  0            2  4456589.60
68-i32-d0  0            3  4571943.60
68-i4-d0   0            1  5267871.80
68-i4-d0   0            2  5299541.60
68-i4-d0   0            3  4811978.40
68-i64-d0  0            1  4137145.00
68-i64-d0  0            2  4140272.80
68-i64-d0  0            3  4127177.00
68-i8-d0   0            1  5697120.60
68-i8-d0   0            2  5681789.20
68-i8-d0   0            3  5447241.80
8-i1-d0    0            1  1496738.00
8-i1-d0    0            2  1647381.60
8-i1-d0    0            3  1583153.40
8-i128-d0  0            1  1002705.00
8-i128-d0  0            2   990924.00
8-i128-d0  0            3  1006515.20
8-i16-d0   0            1  2030511.00
8-i16-d0   0            2  2003863.20
8-i16-d0   0            3  2022022.80
8-i2-d0    0            1  2244483.60
8-i2-d0    0            2  2341635.60
8-i2-d0    0            3  2277826.80
8-i32-d0   0            1  1529547.80
8-i32-d0   0            2  1532312.20
8-i32-d0   0            3  1513040.00
8-i4-d0    0            1  2955798.20
8-i4-d0    0            2  2997762.60
8-i4-d0    0            3  2952548.40
8-i64-d0   0            1  1185512.00
8-i64-d0   0            2  1190795.00
8-i64-d0   0            3  1186171.80
8-i8-d0    0            1  2396933.80
8-i8-d0    0            2  2448324.60
8-i8-d0    0            3  2465328.60
82-i1-d0   0            1  7346541.80
82-i1-d0   0            2  6881133.60
82-i1-d0   0            3  6888227.40
82-i128-d0 0            1  4977603.80
82-i128-d0 0            2  5039036.60
82-i128-d0 0            3  4951444.60
82-i16-d0  0            1  4932109.20
82-i16-d0  0            2  4917545.80
82-i16-d0  0            3  4972576.80
82-i2-d0   0            1  5000929.80
82-i2-d0   0            2  4902135.00
82-i2-d0   0            3  4636490.80
82-i32-d0  0            1  4474291.00
82-i32-d0  0            2  4526786.00
82-i32-d0  0            3  4519163.60
82-i4-d0   0            1  4789928.60
82-i4-d0   0            2  4769768.40
82-i4-d0   0            3  4584455.60
82-i64-d0  0            1  4494816.00
82-i64-d0  0            2  4465752.20
82-i64-d0  0            3  4546555.40
82-i8-d0   0            1  5166096.20
82-i8-d0   0            2  5211489.20
82-i8-d0   0            3  4951509.60
   Operation      Sample     Latency
1-i1-d0       0            1  1440135.00
1-i1-d0       0            2  1466195.80
1-i1-d0       0            3  1468354.00
1-i128-d0     0            1  1455450.80
1-i128-d0     0            2  1457600.00
1-i128-d0     0            3  1455170.40
1-i16-d0      0            1  1452212.60
1-i16-d0      0            2  1467552.40
1-i16-d0      0            3  1458810.80
1-i2-d0       0            1  1455770.00
1-i2-d0       0            2  1452394.60
1-i2-d0       0            3  1454819.00
1-i32-d0      0            1  1459744.60
1-i32-d0      0            2  1456618.80
1-i32-d0      0            3  1451080.40
1-i4-d0       0            1  1464053.40
1-i4-d0       0            2  1455110.00
1-i4-d0       0            3  1456906.80
