Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,71.62,71.62,1.19,81.26,1.34,0.35,0.00,100.00,81.26,81.26
81,22384.62,276.35,4.61,21.06,116.34,12.75,0.47,97.00,21.06,18.96
161,36688.33,227.88,3.80,25.54,238.77,33.65,0.60,97.00,25.54,22.73
241,44626.79,185.17,3.09,31.43,387.21,63.02,0.78,97.00,31.43,27.04
321,51665.38,160.95,2.68,36.16,534.28,100.85,0.70,97.00,36.16,31.32
401,52129.10,130.00,2.17,44.77,720.84,140.46,0.95,97.00,44.77,37.64
481,51802.74,107.70,1.79,54.04,886.62,195.58,1.02,97.00,54.04,45.02
561,59798.90,106.59,1.78,54.60,1122.90,256.73,1.34,97.00,54.60,44.00
641,58574.66,91.38,1.52,63.69,1305.44,333.72,1.51,97.00,63.69,50.70
