Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,71.66,71.66,1.19,81.22,1.40,0.28,0.00,100.00,81.22,81.22
81,22039.27,272.09,4.53,21.39,120.65,13.14,0.32,98.00,21.39,19.63
161,36178.38,224.71,3.75,25.90,250.69,35.30,0.73,97.00,25.90,21.50
241,41024.28,170.23,2.84,34.19,383.20,87.76,0.94,96.00,34.19,27.49
321,47094.03,146.71,2.45,39.67,534.44,120.29,0.95,97.00,39.67,29.88
401,53356.65,133.06,2.22,43.74,721.32,149.09,0.83,98.00,43.74,37.53
481,53969.92,112.20,1.87,51.87,898.92,221.40,1.31,97.00,51.87,43.41
561,60903.19,108.56,1.81,53.61,1108.83,235.72,1.24,97.00,53.61,42.56
641,60927.98,95.05,1.58,61.23,1312.26,320.07,1.58,97.00,61.23,48.40
