Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,71.63,71.63,1.19,81.25,1.38,0.29,0.00,100.00,81.25,81.25
81,22940.15,283.21,4.72,20.55,119.81,13.69,0.46,97.00,20.55,18.46
161,37646.44,233.83,3.90,24.89,249.08,34.98,0.61,97.00,24.89,21.68
241,42070.19,174.57,2.91,33.34,381.30,89.73,1.27,95.00,33.34,26.17
321,53255.99,165.91,2.77,35.08,536.61,97.68,0.67,98.00,35.08,31.33
401,53442.18,133.27,2.22,43.67,706.45,136.13,1.05,97.00,43.67,36.99
481,52492.41,109.13,1.82,53.33,898.67,193.54,1.10,97.00,53.33,45.12
561,59820.81,106.63,1.78,54.58,1102.82,308.01,1.71,96.00,54.58,40.66
641,59310.33,92.53,1.54,62.90,1310.77,378.00,1.73,96.00,62.90,50.57
