Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,64.64,64.64,1.08,90.04,1.37,0.28,0.00,100.00,90.04,90.04
41,10758.34,262.40,4.37,22.18,58.08,4.67,0.24,98.00,22.18,21.30
81,21754.50,268.57,4.48,21.67,117.74,13.55,0.66,96.00,21.67,19.21
121,29489.95,243.72,4.06,23.88,187.22,22.48,0.74,96.00,23.88,20.57
161,35873.66,222.82,3.71,26.12,268.45,34.46,0.61,97.00,26.12,23.55
201,41438.89,206.16,3.44,28.23,353.85,51.33,0.52,98.00,28.23,24.76
241,43064.78,178.69,2.98,32.57,441.78,61.74,0.62,98.00,32.57,28.92
281,49008.69,174.41,2.91,33.37,537.58,87.93,0.79,97.00,33.37,28.83
321,49371.56,153.81,2.56,37.84,639.63,102.81,0.70,98.00,37.84,34.05
