Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,63.52,63.52,1.06,91.63,1.33,0.31,0.00,100.00,91.62,91.62
41,9277.60,226.28,3.77,25.72,56.81,5.26,0.28,98.00,25.72,24.75
81,16205.57,200.07,3.33,29.09,118.35,14.19,0.42,98.00,29.09,27.50
121,21417.88,177.01,2.95,32.88,190.89,20.68,0.45,98.00,32.88,30.24
161,25027.24,155.45,2.59,37.44,258.85,34.51,0.39,98.00,37.44,35.19
201,28476.63,141.67,2.36,41.08,346.83,47.87,0.54,98.00,41.08,37.67
241,34085.54,141.43,2.36,41.15,440.20,66.31,0.57,98.00,41.15,37.59
281,46250.57,164.59,2.74,35.36,540.33,73.28,0.51,98.00,35.36,32.53
321,47046.59,146.56,2.44,39.71,632.26,97.94,0.78,97.00,39.71,34.63
