Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,64.70,64.70,1.08,89.96,1.39,0.25,0.00,100.00,89.96,89.96
41,11187.06,272.86,4.55,21.33,57.31,5.25,0.62,96.00,21.33,19.41
81,21764.54,268.70,4.48,21.66,120.36,13.31,0.47,97.00,21.66,19.54
121,29979.57,247.77,4.13,23.49,188.30,24.08,0.39,98.00,23.49,21.01
161,37570.97,233.36,3.89,24.94,267.62,35.29,0.41,98.00,24.94,22.79
201,42477.12,211.33,3.52,27.54,356.25,45.52,0.53,98.00,27.54,24.12
241,41769.51,173.32,2.89,33.58,449.06,60.24,0.52,98.00,33.58,30.74
281,49156.00,174.93,2.92,33.27,545.23,79.33,0.75,97.00,33.27,28.44
321,50588.14,157.60,2.63,36.93,642.85,93.79,0.76,97.00,36.93,32.50
