Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,64.13,64.13,1.07,90.75,1.34,0.31,0.00,100.00,90.75,90.75
41,10811.96,263.71,4.40,22.07,59.04,4.94,0.23,98.00,22.07,21.11
81,21734.44,268.33,4.47,21.69,120.47,14.39,0.38,98.00,21.69,19.99
121,30981.96,256.05,4.27,22.73,191.43,20.00,0.48,97.00,22.73,20.29
161,35791.44,222.31,3.71,26.18,265.42,31.31,0.51,97.00,26.18,23.45
201,42538.91,211.64,3.53,27.50,357.13,51.75,0.61,97.00,27.50,24.50
241,43845.58,181.93,3.03,31.99,444.11,66.43,0.67,97.00,31.99,28.27
281,48891.48,173.99,2.90,33.45,552.13,86.13,0.67,97.00,33.45,29.13
321,47866.26,149.12,2.49,39.03,633.75,100.94,1.01,97.00,39.03,32.56
