Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,63.77,63.77,1.06,91.27,1.34,0.31,0.00,100.00,91.27,91.27
41,10748.65,262.16,4.37,22.20,57.98,5.41,0.39,98.00,22.20,20.62
81,21565.42,266.24,4.44,21.86,115.87,14.24,0.54,97.00,21.86,19.57
121,30263.00,250.11,4.17,23.27,191.84,21.84,0.35,98.00,23.27,21.34
161,36389.13,226.02,3.77,25.75,263.90,36.29,0.46,98.00,25.75,23.26
201,42554.38,211.71,3.53,27.49,349.90,49.85,0.51,98.00,27.49,24.54
241,42645.79,176.95,2.95,32.89,438.31,70.42,0.69,97.00,32.89,28.42
281,50227.89,178.75,2.98,32.56,546.61,77.56,0.56,98.00,32.56,29.58
321,50492.43,157.30,2.62,37.00,641.84,100.25,0.72,97.00,37.00,33.31
