
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       656       930565         33850        618910         32113        146997         17142
      1094      1003866         21762        679062         23608        208438         10314
      1536      1005218         22786        688760         22131        193269          9526
      1954      1015060         22541        689670         22000        181555          8026
      2395      1012917         22761        692743         22707        180506          9612
      2849      1016619         22208        699508         22740        174038          8309
      3296      1014029         22571        690270         21986        173055          8614
      3711      1020105         21520        692064         22031        168864          8242
      4119      1018104         22082        701755         20625        164764          7623
      4555      1019150         21770        700644         21941        165651          8964
      4979      1018967         21970        703205         21781        164418          8012
      5409      1018530         21388        702308         20638        163380         10050
      5786      1019836         19701        695444         19137        172136          6468
      6179      1019830         20521        704451         19353        168838          7735
      6585      1019544         20622        691487         20415        169688          7120
      6981      1020277         20355        697994         20106        166402          8268
      7395      1021200         19940        692735         21590        168889          5931
      7777      1019985         19293        695086         19353        166110          8459
      8185      1022817         20430        692139         20583        163516          8369
      8567      1026215         19642        702643         19870        162545          5401
      8957      1023580         20313        699950         19953        162573          7247
      9325      1022600         19856        699580         19125        166724          6039
      9704      1026529         20430        697333         19039        155108          5861
     10066      1049037         18046        713539         19329        158461          9736
     10332       996981         13192        681187         14280        168749          4168
     10621      1086654         13741        744590         15219        177236          6612
     10889      1032447         13218        702650         14248        163339          3856
     11145      1031036         13818        705119         13108        165735          4841
     11385       849243         12963        576741         12335        135505          5798
     11684       995850         15143        684434         15622        153485          8518

Final score for writes:         11684
Final score for reads :        612655

