
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        17       811512          1395        782971           775        419177          2495
        32      1279377           949       1244286           893        664868          2901
        43      1054298           859       1025925           768        559150          2530
        56       998515           750        970471           744        517054          1829
        71       962566           675        929955           706        513946          2197
        85       964682           928        931877           530        508033          2499
        97       942934           934        911329           648        503020          2339
       108       939018           885        909915           639        489113          2059
       120       938492           753        909697           794        494358          2355
       135       944577           734        918940           802        495476          2282
       148       934391           990        908519           710        484623          2172
       158       925412           859        896110           521        489749          1758
       168       927913           779        898796           613        494576          1807
       177       926378           794        895672           576        482670          1837
       186       923875           702        894641           639        486414          1884
       194       923348           615        891990           486        484146          1672
       203       923161           580        892329           466        486923          1602
       212       927288           621        897655           540        476009          1589
       222       922012           810        891909           568        481447          1835
       230       925697           629        896255           616        485285          1759
       239       922124           582        890807           461        479275          1681
       250       923537           528        891938           479        491031          1530
       257       926531           537        893265           452        485363          1537
       266       923912           591        890036           537        478316          1544
       277       922431           596        887915           565        477171          1687
       286       918124           678        884178           612        479213          1791
       297       924095           746        888867           522        476139          1720
       303       924290           588        890521           461        467020          1618
       311       913769           502        880059           479        479649          1569
       321       917245           638        881606           517        467717          1651

Final score for writes:           321
Final score for reads :        310166

