
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        40      1210431          2221        928464          2087        540554          3981
        64      1062206          1381        807218          1341        502765          3055
        86      1004283          1268        782838          1028        471978          2568
       103       970885          1077        759022           982        480219          2718
       121       964202          1258        766621          1045        478266          2643
       142       971273          1039        760204           882        481146          2429
       159       941159          1055        734018           814        484102          2085
       175       951544          1242        750245          1107        485851          1837
       189       948650           922        754850          1192        478291          1829
       205       943220           897        762685           904        484719          2121
       221       929344           793        756132           939        493054          2253
       238       927860           908        759330          1086        495525          1710
       255       923529           934        751855           942        491365          2207
       268       927147           890        756598           702        497124          1718
       281       919133          1105        748988           876        497927          1867
       293       922125           952        746273           685        499194          1860
       303       918212           725        742149           674        497125          1841
       314       919527           752        746843           688        501096          1823
       328       916601           992        747905           825        500579          1695
       339       919039           988        750104           716        499100          2074
       351       919288           973        746365           730        504348          2154
       362       918795           960        744713           604        493910          1818
       377       918779           941        747824           724        487800          1826
       393       916353           878        745515          1111        500477          1866
       409       914412          1127        745225           926        502668          1824
       423       914225           865        744765           806        496627          1798
       438       917589           861        746823           841        494501          1796
       455       916420          1150        742565           835        496017          1881
       466       910599           805        742056           772        500581          1834
       479       915386           963        747328          1015        497492          1731

Final score for writes:           479
Final score for reads :        411685

