
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       776544          1204        702436          1150        435004          2997
        39       991226          1100        903370           984        571580          2791
        49      1036126           861        935896           703        583093          2523
        63      1004361           614        910081           788        561490          2021
        76       973804           823        885700           819        545127          2335
        87       962337           934        877015           678        552802          2443
       100       949040          1018        865425           692        534882          2202
       112       943016           792        859215           598       1071299          1916
       123       939562           891        856497           802        529674          2231
       136       947475           939        864001           831        522663          2343
       149       944247           683        863060           882        522176          1970
       160       942221           845        861529           570        530672          1688
       170       942524           733        860714           683        517712          1790
       183       934816           728        855883           666        516381          1788
       192       933881           737        855854           706        517515          1832
       200       935370           681        859405           641        510156          1718
       209       940796           892        861892           433        513869          1685
       218       928643           594        853556           616        516129          1533
       229       936996           638        862336           696        512939          1724
       240       930946           705        857586           552        506943          1718
       251       936350           587        858713           653        510913          1681
       257       934012           677        855531           536        519541          1607
       267       932182           587        856762           502        508590          1557
       275       931818           645        854722           584        503207          1600
       285       940189           619        865239           556        496211          1582
       295       927787           695        851080           619        505235          1610
       304       931678           656        855710           709        493700          1703
       314       931982           644        855871           628        504575          1588
       324       932772           762        853065           533        502346          1594
       335       933702           552        855939           704        502144          1642

Final score for writes:           335
Final score for reads :        340722

