
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        19       792857          1162        760587          1019        415058          2857
        34      1121408          1080       1081729           863        607354          2980
        48      1024190           885        974466           822        577929          2584
        58       993558           710        934944           665        547132          2147
        72       967185          1047        909966           574        532884          2415
        83       956927           719        901893           889       1064501          2303
        97       954235           873        898073           710        534046          2154
       107       953615           787        896994           670        521692          1986
       121       944140           821        888682           843        516963          2468
       132       945896           852        895777           793        508747          2186
       146       938409           988        889058           792        507851          2100
       160       937825           835        882996           593        513688          1792
       172       933056           843        877020           573        502541          1808
       183       934674           815        878827           618        503598          1838
       194       935749           751        880219           615        500467          1797
       202       933341           659        881079           464        499733          1558
       213       934651           897        878880           455        506704          1523
       222       926744           635        872604           677        503256          1778
       232       934043           731        881495           592        499447          1689
       240       930067           647        877243           569        503871          1636
       251       930729           647        876551           601        496468          1567
       261       929751           581        873134           519        498636          1536
       271       929616           591        872013           536        498509          1513
       278       927344           660        868542           458        488428          1501
       287       933808           578        875040           489        490364          1552
       295       930501           631        875058           534        494312          1613
       306       928464           767        873827           552        498132          1757
       315       928887           704        873232           524        493122          1690
       324       935694           656        876800           442        489726          1487
       331       934920           695        877115           527        483120          1518

Final score for writes:           331
Final score for reads :        328032

