
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        19       959332          1179        927393          1085        502664          2470
        36      1153871          1131       1115755           831        624167          2766
        50      1033636           915        988457           699        556053          2323
        66       993751           678        947052           715        529473          2058
        78       977572           783        931090           824        524943          2273
        89       967132           843        922032           709        527802          2312
       102       962567           767        918324           739        523238          2307
       113       952271           777        911306           630        515691          1999
       125       947844           831        910500           932        511490          2272
       139       952135           889        916281           721        507539          2191
       151       943857           749        905679           794        500592          1967
       162       942626           856        900943           540        498626          1690
       171       937979           715        896633           514        507969          1748
       181       941613           777        900022           641        501250          1791
       190       939426           708        897045           598        499388          1859
       202       936825           574        893427           654        497159          1694
       207       939881           634        898165           411        502637          1650
       216       936057           619        892033           672        493676          1666
       226       937698           781        897022           566        497777          1800
       234       938158           624        898038           609        500077          1712
       244       932127           661        891826           608        506257          1640
       253       950011           711        906670           417        496951          1578
       264       937179           569        893027           557        500100          1504
       274       941522           690        898378           513        487083          1515
       284       931756           671        887679           616        499039          1524
       294       936159           713        893906           566        485665          1744
       305       935751           553        893762           631        487569          1711
       313       939433           554        896867           544        489391          1618
       322       933419           537        889917           487        488797          1605
       331       940055           661        895576           446        482003          1589

Final score for writes:           331
Final score for reads :        323280

