Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,66.48,66.48,1.11,87.54,1.38,0.30,0.00,100.00,87.54,87.54
81,21724.42,268.20,4.47,21.70,119.21,14.16,0.55,97.00,21.70,19.56
161,35750.48,222.05,3.70,26.21,250.46,36.30,0.69,97.00,26.21,22.35
241,42273.06,175.41,2.92,33.18,384.03,59.65,0.63,98.00,33.18,29.18
321,44887.55,139.84,2.33,41.62,532.72,149.05,1.51,95.00,41.62,31.92
401,49102.04,122.45,2.04,47.53,707.63,157.49,1.05,97.00,47.53,39.04
481,48829.93,101.52,1.69,57.33,882.03,205.45,1.25,97.00,57.33,47.66
561,56527.35,100.76,1.68,57.76,1112.43,243.94,1.33,97.00,57.76,47.04
641,57016.96,88.95,1.48,65.43,1319.91,334.05,1.52,97.00,65.43,52.56
