Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,66.71,66.71,1.11,87.24,1.32,0.37,0.00,100.00,87.24,87.24
81,22299.91,275.31,4.59,21.14,118.19,12.96,0.69,96.00,21.14,17.79
161,35601.06,221.12,3.69,26.32,249.77,33.20,0.47,98.00,26.32,23.92
241,42490.76,176.31,2.94,33.01,388.87,63.83,0.73,97.00,33.01,28.94
321,48150.00,150.00,2.50,38.80,532.80,97.70,0.68,98.00,38.80,34.59
401,50559.36,126.08,2.10,46.16,711.85,139.78,1.00,97.00,46.16,39.69
481,49564.80,103.05,1.72,56.48,887.35,229.37,1.20,97.00,56.48,47.84
561,56042.22,99.90,1.66,58.26,1118.05,284.24,1.61,96.00,58.26,45.17
641,54398.08,84.86,1.41,68.58,1290.85,356.81,1.82,97.00,68.58,54.76
