Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,66.24,66.24,1.10,87.86,1.21,0.48,0.00,100.00,87.86,87.86
81,17870.36,220.62,3.68,26.38,120.30,14.25,0.28,98.00,26.38,24.83
161,26225.02,162.89,2.71,35.73,249.50,27.50,0.63,98.00,35.73,32.66
241,28046.79,116.38,1.94,50.01,382.28,57.58,0.77,98.00,50.01,43.41
321,33504.66,104.38,1.74,55.76,544.04,81.05,0.97,98.00,55.76,49.06
401,34595.61,86.27,1.44,67.46,710.48,128.69,1.20,98.00,67.46,59.69
481,34740.88,72.23,1.20,80.58,896.21,173.84,1.47,98.00,80.58,67.36
561,46891.00,83.58,1.39,69.63,1103.99,251.57,1.46,97.00,69.63,58.26
641,58309.16,90.97,1.52,63.98,1311.24,296.21,1.32,97.00,63.98,54.19
