Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,66.49,66.49,1.11,87.53,1.34,0.35,0.00,100.00,87.53,87.53
81,21486.78,265.27,4.42,21.94,116.52,14.67,0.71,96.00,21.94,18.94
161,34989.54,217.33,3.62,26.78,244.28,35.77,0.74,97.00,26.78,22.98
241,41338.64,171.53,2.86,33.93,378.30,60.37,0.61,98.00,33.93,29.20
321,47284.74,147.30,2.46,39.51,531.79,124.65,1.03,97.00,39.51,30.78
401,49953.34,124.57,2.08,46.72,708.35,153.69,1.18,97.00,46.72,38.67
481,49643.91,103.21,1.72,56.39,895.25,185.94,1.07,97.00,56.39,47.19
561,58681.16,104.60,1.74,55.64,1110.74,251.32,1.35,97.00,55.64,46.62
641,59680.37,93.11,1.55,62.51,1313.54,314.54,1.48,97.00,62.51,50.36
