   Operation      Sample         Ops
read     0     137.6426        0.10
read     0     137.6426        0.10
read     0     137.6426        0.10
read     0     137.6426        0.00
read     0     137.6426        0.00
read     0     137.6434        0.00
read     0     137.6734        0.00
read     0     137.6774        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6783        0.00
read     0     137.6922        0.10
read     0     137.6924        0.00
read     0     137.6924        0.00
read     0     137.6924        0.00
read     0     137.6924        0.10
read     0     137.6924        0.10
read     0     137.7051        0.00
read     0     137.7239        0.00
read     0     137.7377        0.00
read     0     137.7377        0.00
read     0     137.7377        0.00
read     0     137.7377        0.00
read     0     137.7377        0.10
read     0     137.7377        0.00
read     0     137.7377        0.00
read     0     137.7377        0.00
read     0     137.7384        0.00
read     0     137.7399        0.00
read     0     137.7490        0.10
read     0     137.7490        0.00
read     0     137.7490        0.00
read     0     137.7490        0.00
read     0     137.7490        0.00
read     0     137.7557        0.20
read     0     137.7801        0.20
read     0     137.7860        0.00
read     0     137.7860        0.10
read     0     137.7860        0.10
read     0     137.7860        0.10
read     0     137.7860        0.10
read     0     137.7860        0.00
read     0     137.7860        0.00
read     0     137.7860        0.00
read     0     137.7874        0.00
read     0     137.7908        0.10
read     0     137.7908        0.00
read     0     137.7910        0.10
read     0     137.7966        0.00
read     0     137.7966        0.10
read     0     137.7983        0.00
read     0     137.8191        0.00
read     0     137.8282        0.00
read     0     137.8372        0.00
read     0     137.8372        0.00
read     0     137.8372        0.10
read     0     137.8438        0.10
read     0     137.8438        0.10
read     0     137.8438        0.10
read     0     137.8438        0.00
read     0     137.8438        0.10
read     0     137.8438        0.10
read     0     137.8438        0.10
read     0     137.8438        0.10
read     0     137.8511        0.00
read     0     137.8530        0.10
read     0     137.8530        0.10
read     0     137.8627        0.10
read     0     137.8758        0.00
read     0     137.8827        0.00
read     0     137.8851        0.10
read     0     137.8851        0.00
read     0     137.8851        0.00
read     0     137.8900        0.00
read     0     137.8900        0.00
read     0     137.8900        0.10
read     0     137.8900        0.00
read     0     137.8900        0.10
read     0     137.8900        0.00
read     0     137.8900        0.10
read     0     137.8900        0.00
read     0     137.9047        0.00
read     0     137.9047        0.00
read     0     137.9145        0.00
read     0     137.9149        0.10
read     0     137.9198        0.00
read     0     137.9230        0.00
read     0     137.9277        0.00
read     0     137.9277        0.10
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9347        0.00
read     0     137.9463        0.00
read     0     137.9498        0.00
read     0     137.9514        0.00
read     0     137.9514        0.00
read     0     137.9528        0.00
read     0     137.9770        0.10
read     0     137.9770        0.00
read     0     137.9779        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9792        0.00
read     0     137.9811        0.10
read     0     137.9848        0.00
read     0     137.9857        0.00
read     0     137.9918        0.00
read     0     137.9918        0.00
read     0     138.0096        0.00
read     0     138.0186        0.00
read     0     138.0200        0.00
read     0     138.0240        0.00
read     0     138.0240        0.00
read     0     138.0240        0.00
read     0     138.0240        0.00
read     0     138.0240        0.00
read     0     138.0240        0.10
read     0     138.0240        0.00
read     0     138.0240        0.10
read     0     138.0258        0.00
read     0     138.0258        0.10
read     0     138.0300        0.00
read     0     138.0300        0.10
read     0     138.0372        0.00
read     0     138.0414        0.00
read     0     138.0517        0.00
read     0     138.0548        0.00
read     0     138.0692        0.00
read     0     138.0692        0.00
read     0     138.0692        0.10
read     0     138.0692        0.00
read     0     138.0692        0.00
read     0     138.0692        0.00
read     0     138.0692        0.00
read     0     138.0692        0.00
read     0     138.0710        0.10
read     0     138.0710        0.10
read     0     138.0710        0.00
read     0     138.0710        0.10
read     0     138.0731        0.00
read     0     138.0846        0.00
read     0     138.0897        0.00
read     0     138.0960        0.00
read     0     138.1049        0.00
read     0     138.1119        0.10
read     0     138.1119        0.00
read     0     138.1119        0.00
read     0     138.1119        0.00
read     0     138.1153        0.00
read     0     138.1153        0.00
read     0     138.1153        0.10
read     0     138.1153        0.00
read     0     138.1153        0.00
read     0     138.1153        0.00
read     0     138.1153        0.00
read     0     138.1153        0.00
read     0     138.1176        0.00
read     0     138.1247        0.10
read     0     138.1367        0.00
read     0     138.1505        0.00
read     0     138.1505        0.00
read     0     138.1505        0.00
read     0     138.1505        0.10
read     0     138.1516        0.10
read     0     138.1543        0.00
read     0     138.1597        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1619        0.00
read     0     138.1686        0.00
read     0     138.1927        0.10
read     0     138.1927        0.10
read     0     138.1927        0.10
