   Operation      Sample     Latency
10-i1-d0   0            1  2067680.20
10-i1-d0   0            2  2119306.20
10-i1-d0   0            3  2103496.60
10-i128-d0 0            1  1101037.60
10-i128-d0 0            2  1088271.40
10-i128-d0 0            3  1095211.80
10-i16-d0  0            1  2512300.40
10-i16-d0  0            2  2533805.00
10-i16-d0  0            3  2507385.00
10-i2-d0   0            1  2779507.00
10-i2-d0   0            2  2748272.20
10-i2-d0   0            3  2730206.20
10-i32-d0  0            1  1836994.80
10-i32-d0  0            2  1837806.80
10-i32-d0  0            3  1818432.40
10-i4-d0   0            1  3707976.00
10-i4-d0   0            2  3774025.00
10-i4-d0   0            3  3765925.60
10-i64-d0  0            1  1329226.80
10-i64-d0  0            2  1327065.00
10-i64-d0  0            3  1330022.20
10-i8-d0   0            1  3016516.20
10-i8-d0   0            2  3000917.60
10-i8-d0   0            3  3065108.40
100-i1-d0  0            1  5675816.00
100-i1-d0  0            2  5078689.40
100-i1-d0  0            3  5936726.80
100-i128-d00            1  5038360.00
100-i128-d00            2  4854309.00
100-i128-d00            3  4959406.20
100-i16-d0 0            1  4723350.00
100-i16-d0 0            2  4750604.20
100-i16-d0 0            3  4790614.80
100-i2-d0  0            1  4527552.20
100-i2-d0  0            2  4318146.20
100-i2-d0  0            3  4274537.40
100-i32-d0 0            1  4503346.00
100-i32-d0 0            2  4562285.80
100-i32-d0 0            3  4542078.40
100-i4-d0  0            1  4313424.40
100-i4-d0  0            2  4285629.80
100-i4-d0  0            3  4164827.20
100-i64-d0 0            1  4436764.20
100-i64-d0 0            2  4385123.40
100-i64-d0 0            3  4433080.80
100-i8-d0  0            1  4710464.80
100-i8-d0  0            2  4778636.60
100-i8-d0  0            3  4818056.40
120-i1-d0  0            1  5191937.20
120-i1-d0  0            2  4464784.00
120-i1-d0  0            3  5051850.00
120-i128-d00            1  4702203.80
120-i128-d00            2  4476507.60
120-i128-d00            3  4788121.20
120-i16-d0 0            1  4408291.40
120-i16-d0 0            2  4456490.00
120-i16-d0 0            3  4458437.60
120-i2-d0  0            1  4286225.80
120-i2-d0  0            2  4090547.20
120-i2-d0  0            3  4203393.20
120-i32-d0 0            1  4371202.20
120-i32-d0 0            2  4263037.40
120-i32-d0 0            3  4358274.60
120-i4-d0  0            1  4060351.80
120-i4-d0  0            2  3942379.40
120-i4-d0  0            3  3911250.80
120-i64-d0 0            1  4259962.80
120-i64-d0 0            2  4231869.40
120-i64-d0 0            3  4300609.20
120-i8-d0  0            1  4416840.20
120-i8-d0  0            2  4474529.20
120-i8-d0  0            3  4512016.20
14-i1-d0   0            1  2603137.00
14-i1-d0   0            2  2544683.60
14-i1-d0   0            3  2672116.00
14-i128-d0 0            1  1206525.40
14-i128-d0 0            2  1212339.40
14-i128-d0 0            3  1205283.00
14-i16-d0  0            1  3160972.00
14-i16-d0  0            2  3104193.60
14-i16-d0  0            3  3149179.20
14-i2-d0   0            1  3955179.60
14-i2-d0   0            2  3933080.80
14-i2-d0   0            3  4146840.00
14-i32-d0  0            1  2187769.00
14-i32-d0  0            2  2155616.60
14-i32-d0  0            3  2201663.00
14-i4-d0   0            1  5045601.80
14-i4-d0   0            2  4992097.80
14-i4-d0   0            3  4994928.80
14-i64-d0  0            1  1480741.40
14-i64-d0  0            2  1500216.40
14-i64-d0  0            3  1496037.60
14-i8-d0   0            1  3965039.00
14-i8-d0   0            2  3922492.60
14-i8-d0   0            3  3978698.80
146-i1-d0  0            1  4335637.40
146-i1-d0  0            2  3891090.80
146-i1-d0  0            3  4601713.60
146-i128-d00            1  4334205.60
146-i128-d00            2  4033885.80
146-i128-d00            3  4390385.40
146-i16-d0 0            1  4204388.80
146-i16-d0 0            2  4202043.20
146-i16-d0 0            3  4244181.00
146-i2-d0  0            1  4096982.20
146-i2-d0  0            2  3730320.60
146-i2-d0  0            3  4054697.40
146-i32-d0 0            1  4090425.00
146-i32-d0 0            2  4136937.80
146-i32-d0 0            3  4124034.20
146-i64-d0 0            1  4120926.20
146-i64-d0 0            2  4096578.20
146-i64-d0 0            3  4120334.80
146-i8-d0  0            1  4243518.80
146-i8-d0  0            2  4286265.00
146-i8-d0  0            3  4261990.40
16-i1-d0   0            1  2917396.00
16-i1-d0   0            2  2946888.80
16-i1-d0   0            3  2877189.00
16-i128-d0 0            1  1245489.00
16-i128-d0 0            2  1247818.60
16-i128-d0 0            3  1249951.60
16-i16-d0  0            1  3489228.00
16-i16-d0  0            2  3506122.60
16-i16-d0  0            3  3441794.00
16-i2-d0   0            1  4372542.00
16-i2-d0   0            2  4636809.80
16-i2-d0   0            3  4440383.20
16-i32-d0  0            1  2346676.20
16-i32-d0  0            2  2400393.60
16-i32-d0  0            3  2424109.40
16-i4-d0   0            1  6886798.80
16-i4-d0   0            2  6795282.60
16-i4-d0   0            3  6383955.60
16-i64-d0  0            1  1572200.40
16-i64-d0  0            2  1580958.60
16-i64-d0  0            3  1577308.00
16-i8-d0   0            1  4532324.40
16-i8-d0   0            2  4500399.00
16-i8-d0   0            3  4516140.20
160-i1-d0  0            1  4607643.60
160-i1-d0  0            2  3695574.60
160-i1-d0  0            3  4392705.20
160-i128-d00            1  4130080.60
160-i128-d00            2  3855798.20
160-i128-d00            3  4466866.00
160-i16-d0 0            1  4097010.00
160-i16-d0 0            2  4101435.80
160-i16-d0 0            3  4120195.20
160-i2-d0  0            1  4170669.20
160-i2-d0  0            2  4066574.60
160-i32-d0 0            1  4014228.00
160-i32-d0 0            2  4007349.40
160-i32-d0 0            3  4033525.80
160-i64-d0 0            1  3980795.60
160-i64-d0 0            2  3970672.40
160-i64-d0 0            3  3992887.60
160-i8-d0  0            1  4161247.20
160-i8-d0  0            2  4125969.40
160-i8-d0  0            3  4174909.80
2-i1-d0    0            1   923402.00
2-i1-d0    0            2   726932.00
2-i1-d0    0            3   743124.00
2-i128-d0  0            1   386831.20
2-i128-d0  0            2   387377.20
2-i128-d0  0            3   388157.40
2-i16-d0   0            1   773716.80
2-i16-d0   0            2   822677.20
2-i16-d0   0            3   799181.60
2-i2-d0    0            1   767823.20
2-i2-d0    0            2   746481.20
2-i2-d0    0            3   747981.20
2-i32-d0   0            1   846003.20
2-i32-d0   0            2   791443.80
2-i32-d0   0            3   817211.80
2-i4-d0    0            1   738844.00
2-i4-d0    0            2   736210.00
2-i4-d0    0            3   734929.80
2-i64-d0   0            1   422067.00
2-i64-d0   0            2   432374.40
2-i64-d0   0            3   441257.80
2-i8-d0    0            1   776723.60
2-i8-d0    0            2   785285.00
2-i8-d0    0            3   775858.20
20-i1-d0   0            1  3914627.20
20-i1-d0   0            2  3751318.80
20-i1-d0   0            3  3935671.40
20-i128-d0 0            1  1854514.80
20-i128-d0 0            2  1853638.00
20-i128-d0 0            3  1883672.00
20-i16-d0  0            1  3976275.60
20-i16-d0  0            2  3929615.40
20-i16-d0  0            3  3935224.80
20-i2-d0   0            1  5121481.20
20-i2-d0   0            2  5205635.00
20-i2-d0   0            3  5135061.20
20-i32-d0  0            1  2461604.80
20-i32-d0  0            2  2493363.20
20-i32-d0  0            3  2490822.00
20-i4-d0   0            1  6743446.00
20-i4-d0   0            2  6546091.20
20-i4-d0   0            3  6525827.20
20-i64-d0  0            1  1653615.20
20-i64-d0  0            2  1658288.20
20-i64-d0  0            3  1673058.80
20-i8-d0   0            1  5274936.00
20-i8-d0   0            2  5279745.40
20-i8-d0   0            3  5271662.40
26-i1-d0   0            1  5336603.20
26-i1-d0   0            2  4805672.00
26-i1-d0   0            3  5217340.00
26-i128-d0 0            1  2270655.80
26-i128-d0 0            2  2226894.40
26-i128-d0 0            3  2238837.20
26-i16-d0  0            1  4527782.60
26-i16-d0  0            2  4498485.40
26-i16-d0  0            3  4478239.60
26-i2-d0   0            1  7266692.20
26-i2-d0   0            2  6814371.20
26-i2-d0   0            3  7868471.20
26-i32-d0  0            1  2652021.40
26-i32-d0  0            2  2694309.20
26-i32-d0  0            3  2694220.80
26-i4-d0   0            1  8157727.20
26-i4-d0   0            2  8031484.40
26-i4-d0   0            3  7837347.40
26-i64-d0  0            1  2143508.20
26-i64-d0  0            2  2155463.40
26-i64-d0  0            3  2193836.60
26-i8-d0   0            1  6177706.60
26-i8-d0   0            2  6148747.60
26-i8-d0   0            3  6129252.80
32-i1-d0   0            1  5388776.40
32-i1-d0   0            2  4958369.00
32-i1-d0   0            3  5567604.20
32-i128-d0 0            1  2336971.60
32-i128-d0 0            2  2343642.80
32-i128-d0 0            3  2362970.60
32-i16-d0  0            1  4788452.20
32-i16-d0  0            2  4776684.00
32-i16-d0  0            3  4931650.00
32-i2-d0   0            1  6882912.00
32-i2-d0   0            2  7501072.60
32-i2-d0   0            3  6911015.40
32-i32-d0  0            1  2763217.60
32-i32-d0  0            2  2753705.00
32-i32-d0  0            3  2806728.80
32-i4-d0   0            1  8509377.60
32-i4-d0   0            2  7723616.40
32-i4-d0   0            3  8030402.40
32-i64-d0  0            1  2781628.60
32-i64-d0  0            2  2804559.00
32-i64-d0  0            3  2786233.20
32-i8-d0   0            1  6768605.40
32-i8-d0   0            2  6763042.00
32-i8-d0   0            3  6717596.00
38-i1-d0   0            1  6439219.80
38-i1-d0   0            2  5927267.20
38-i1-d0   0            3  6410257.60
38-i128-d0 0            1  3090192.00
38-i128-d0 0            2  3048876.00
38-i128-d0 0            3  3110659.00
38-i16-d0  0            1  4912797.40
38-i16-d0  0            2  5109568.40
38-i16-d0  0            3  4954827.80
38-i2-d0   0            1  8046982.80
38-i2-d0   0            2  8044337.00
38-i2-d0   0            3  8011462.20
38-i32-d0  0            1  2920254.80
38-i32-d0  0            2  2823323.00
38-i32-d0  0            3  2843599.20
38-i4-d0   0            1  7383135.80
38-i4-d0   0            2  6257229.40
38-i4-d0   0            3  6297259.60
38-i64-d0  0            1  3041069.00
38-i64-d0  0            2  3042457.00
38-i64-d0  0            3  3064188.20
38-i8-d0   0            1  6880834.80
38-i8-d0   0            2  6712021.00
38-i8-d0   0            3  6839181.80
4-i1-d0    0            1  1199697.40
4-i1-d0    0            2  1247475.20
4-i1-d0    0            3  1215444.60
4-i128-d0  0            1   658120.80
4-i128-d0  0            2   665459.60
4-i128-d0  0            3   668542.00
4-i16-d0   0            1  1093880.00
4-i16-d0   0            2  1093017.20
4-i16-d0   0            3  1102998.00
4-i2-d0    0            1  1254703.60
4-i2-d0    0            2  1334684.80
4-i2-d0    0            3  1298174.40
4-i32-d0   0            1  1012736.60
4-i32-d0   0            2  1021318.20
4-i32-d0   0            3  1034482.80
4-i4-d0    0            1  1568123.80
4-i4-d0    0            2  1503342.20
4-i4-d0    0            3  1559286.00
4-i64-d0   0            1   734723.20
4-i64-d0   0            2   743885.60
4-i64-d0   0            3   743301.00
4-i8-d0    0            1  1427452.00
4-i8-d0    0            2  1423941.20
4-i8-d0    0            3  1422671.20
46-i1-d0   0            1  6879385.80
46-i1-d0   0            2  6255890.40
46-i1-d0   0            3  6870149.40
46-i128-d0 0            1  3337415.40
46-i128-d0 0            2  3302290.20
46-i128-d0 0            3  3257613.80
46-i16-d0  0            1  5059152.60
46-i16-d0  0            2  4753426.00
46-i16-d0  0            3  5109969.80
46-i2-d0   0            1  7691910.40
46-i2-d0   0            2  7664168.40
46-i2-d0   0            3  7013448.00
46-i32-d0  0            1  3646679.20
46-i32-d0  0            2  3760170.80
46-i32-d0  0            3  3655558.00
46-i4-d0   0            1  6313023.00
46-i4-d0   0            2  5634379.20
46-i4-d0   0            3  5399592.40
46-i64-d0  0            1  3182709.80
46-i64-d0  0            2  3174342.40
46-i64-d0  0            3  3251534.60
46-i8-d0   0            1  6355388.40
46-i8-d0   0            2  6671166.60
46-i8-d0   0            3  6515788.60
56-i1-d0   0            1  7706092.80
56-i1-d0   0            2  7325403.20
56-i1-d0   0            3  8777224.40
56-i128-d0 0            1  4078293.00
56-i128-d0 0            2  3979181.00
56-i128-d0 0            3  4044417.80
56-i16-d0  0            1  4797261.20
56-i16-d0  0            2  4952634.60
56-i16-d0  0            3  4849390.80
56-i2-d0   0            1  6344794.20
56-i2-d0   0            2  6509776.40
56-i2-d0   0            3  6273073.80
56-i32-d0  0            1  4337203.00
56-i32-d0  0            2  4393118.00
56-i32-d0  0            3  4341033.40
56-i4-d0   0            1  5573814.40
56-i4-d0   0            2  5342004.80
56-i4-d0   0            3  4858268.20
56-i64-d0  0            1  3989320.20
56-i64-d0  0            2  3931396.00
56-i64-d0  0            3  4057080.00
