   Operation      Sample         Ops
syst-1   0            1        0.09
syst-1   0            2        0.12
syst-1   0            3        0.10
syst-1   0            4        0.10
syst-1   0            5        0.09
syst-1   0            6        0.11
syst-1   0            7        0.11
elsp-1   0            1        0.27
elsp-1   0            2        0.27
elsp-1   0            3        0.26
elsp-1   0            4        0.26
elsp-1   0            5        0.26
elsp-1   0            6        0.26
elsp-1   0            7        0.26
syst-4   0            1        0.13
syst-4   0            2        0.18
syst-4   0            3        0.22
syst-4   0            4        0.18
syst-4   0            5        0.14
syst-4   0            6        0.36
syst-4   0            7        0.14
elsp-4   0            1        0.21
elsp-4   0            2        0.21
elsp-4   0            3        0.22
elsp-4   0            4        0.21
elsp-4   0            5        0.21
elsp-4   0            6        0.32
elsp-4   0            7        0.21
syst-7   0            1        0.31
syst-7   0            2        0.24
syst-7   0            3        0.23
syst-7   0            4        0.65
syst-7   0            5        0.18
syst-7   0            6        0.20
syst-7   0            7        0.22
elsp-7   0            1        0.20
elsp-7   0            2        0.21
elsp-7   0            3        0.20
elsp-7   0            4        0.31
elsp-7   0            5        0.21
elsp-7   0            6        0.21
elsp-7   0            7        0.21
syst-12  0            1        0.36
syst-12  0            2        0.40
syst-12  0            3        0.46
syst-12  0            4        0.29
syst-12  0            5        0.36
syst-12  0            6        0.43
syst-12  0            7        0.43
elsp-12  0            1        0.20
elsp-12  0            2        0.20
elsp-12  0            3        0.20
elsp-12  0            4        0.18
elsp-12  0            5        0.20
elsp-12  0            6        0.21
elsp-12  0            7        0.21
syst-21  0            1        0.27
syst-21  0            2        0.48
syst-21  0            3        0.38
syst-21  0            4        0.34
syst-21  0            5        0.63
syst-21  0            6        0.51
syst-21  0            7        0.38
elsp-21  0            1        0.16
elsp-21  0            2        0.17
elsp-21  0            3        0.16
elsp-21  0            4        0.17
elsp-21  0            5        0.19
elsp-21  0            6        0.19
elsp-21  0            7        0.18
syst-30  0            1        0.48
syst-30  0            2        1.21
syst-30  0            3        0.54
syst-30  0            4        0.48
syst-30  0            5        0.22
syst-30  0            6        0.35
syst-30  0            7        0.24
elsp-30  0            1        0.16
elsp-30  0            2        0.19
elsp-30  0            3        0.15
elsp-30  0            4        0.15
elsp-30  0            5        0.12
elsp-30  0            6        0.15
elsp-30  0            7        0.12
syst-48  0            1        0.22
syst-48  0            2        0.33
syst-48  0            3        0.18
syst-48  0            4        0.92
syst-48  0            5        0.39
syst-48  0            6        0.20
syst-48  0            7        0.27
elsp-48  0            1        0.11
elsp-48  0            2        0.12
elsp-48  0            3        0.11
elsp-48  0            4        0.18
elsp-48  0            5        0.15
elsp-48  0            6        0.10
elsp-48  0            7        0.11
syst-79  0            1        0.23
syst-79  0            2        0.49
syst-79  0            3        0.60
syst-79  0            4        0.32
syst-79  0            5        0.24
syst-79  0            6        0.78
syst-79  0            7        0.81
elsp-79  0            1        0.11
elsp-79  0            2        0.11
elsp-79  0            3        0.12
elsp-79  0            4        0.11
elsp-79  0            5        0.11
elsp-79  0            6        0.11
elsp-79  0            7        0.11
syst-110 0            1        0.54
syst-110 0            2        0.29
syst-110 0            3        0.29
syst-110 0            4        0.37
syst-110 0            5        0.29
syst-110 0            6        0.49
syst-110 0            7        0.30
elsp-110 0            1        0.11
elsp-110 0            2        0.11
elsp-110 0            3        0.12
elsp-110 0            4        0.11
elsp-110 0            5        0.11
elsp-110 0            6        0.11
elsp-110 0            7        0.11
syst-141 0            1        0.43
syst-141 0            2        0.71
syst-141 0            3        0.58
syst-141 0            4        0.71
syst-141 0            5        0.63
syst-141 0            6        0.31
syst-141 0            7        0.41
elsp-141 0            1        0.12
elsp-141 0            2        0.12
elsp-141 0            3        0.11
elsp-141 0            4        0.11
elsp-141 0            5        0.11
elsp-141 0            6        0.12
elsp-141 0            7        0.11
syst-160 0            1        0.67
syst-160 0            2        0.60
syst-160 0            3        0.88
syst-160 0            4        0.55
syst-160 0            5        0.52
syst-160 0            6        0.68
syst-160 0            7        0.70
elsp-160 0            1        0.11
elsp-160 0            2        0.11
elsp-160 0            3        0.12
elsp-160 0            4        0.11
elsp-160 0            5        0.12
elsp-160 0            6        0.11
elsp-160 0            7        0.12
