   Operation      Sample         Ops
sembench-futex-5101    0            1   196535.00
sembench-futex-5132    0            1   198496.00
sembench-futex-5163    0            1   196853.00
sembench-futex-5194    0            1   197879.00
sembench-futex-5225    0            1   194659.00
sembench-futex-5256    0            1   195610.00
sembench-futex-5287    0            1   195887.00
sembench-futex-5318    0            1   195769.00
sembench-futex-5349    0            1   196903.00
sembench-futex-5380    0            1   196268.00
sembench-futex-5411    0            1   195814.00
sembench-futex-5442    0            1   194615.00
sembench-futex-5473    0            1   198131.00
sembench-futex-5504    0            1   195896.00
sembench-futex-5535    0            1   196151.00
sembench-futex-5566    0            1   196429.00
sembench-futex-5597    0            1   197630.00
sembench-futex-5628    0            1   195691.00
sembench-futex-5659    0            1   195768.00
sembench-futex-5690    0            1   197468.00
sembench-futex-5721    0            1   197649.00
sembench-futex-5752    0            1   195951.00
sembench-futex-5783    0            1   195276.00
sembench-futex-5814    0            1   193841.00
sembench-futex-5845    0            1   197172.00
sembench-futex-5876    0            1   197078.00
sembench-futex-5907    0            1   196184.00
sembench-futex-5938    0            1   194873.00
sembench-futex-5969    0            1   194158.00
sembench-futex-6000    0            1   195374.00
sembench-futex-6031    0            1   195277.00
sembench-futex-6062    0            1   196895.00
sembench-futex-6093    0            1   197200.00
sembench-futex-6124    0            1   195941.00
sembench-futex-6155    0            1   195249.00
sembench-futex-6186    0            1   195826.00
sembench-futex-6217    0            1   196865.00
sembench-futex-6248    0            1   195275.00
sembench-futex-6279    0            1   195607.00
sembench-futex-6310    0            1   194530.00
sembench-futex-6341    0            1   196917.00
sembench-futex-6372    0            1   193427.00
sembench-futex-6403    0            1   196346.00
sembench-futex-6434    0            1   196631.00
sembench-futex-6465    0            1   195293.00
sembench-futex-6496    0            1   196287.00
sembench-futex-6527    0            1   194540.00
sembench-futex-6558    0            1   196204.00
sembench-futex-6589    0            1   195325.00
sembench-futex-6620    0            1   195033.00
sembench-futex-6651    0            1   195284.00
sembench-futex-6682    0            1   192940.00
sembench-futex-6713    0            1   194340.00
sembench-futex-6744    0            1   192681.00
sembench-futex-6775    0            1   196158.00
sembench-futex-6806    0            1   194564.00
sembench-futex-6837    0            1   195850.00
sembench-futex-6868    0            1   196167.00
sembench-futex-6899    0            1   195989.00
sembench-futex-6930    0            1   194936.00
sembench-futex-6961    0            1   195198.00
sembench-futex-6992    0            1   193270.00
sembench-futex-7023    0            1   195249.00
sembench-futex-7054    0            1   195669.00
sembench-futex-7085    0            1   195997.00
sembench-futex-7116    0            1   194275.00
sembench-futex-7147    0            1   193453.00
sembench-futex-7178    0            1   195067.00
sembench-futex-7209    0            1   195516.00
sembench-futex-7240    0            1   194091.00
sembench-futex-7271    0            1   195431.00
sembench-futex-7302    0            1   193860.00
sembench-futex-7333    0            1   195260.00
sembench-futex-7364    0            1   194487.00
sembench-futex-7395    0            1   195179.00
sembench-futex-7426    0            1   193735.00
sembench-futex-7457    0            1   192333.00
sembench-futex-7488    0            1   195124.00
sembench-futex-7519    0            1   194717.00
sembench-futex-7550    0            1   195075.00
sembench-futex-7581    0            1   194608.00
sembench-futex-7612    0            1   195081.00
sembench-futex-7643    0            1   194851.00
sembench-futex-7674    0            1   192822.00
sembench-futex-7705    0            1   195039.00
sembench-futex-7736    0            1   190530.00
sembench-futex-7767    0            1   194905.00
sembench-futex-7798    0            1   194572.00
sembench-futex-7829    0            1   194752.00
sembench-futex-7860    0            1   192537.00
sembench-futex-7891    0            1   194931.00
sembench-futex-7922    0            1   193676.00
sembench-futex-7953    0            1   190880.00
sembench-futex-7984    0            1   194742.00
sembench-futex-8015    0            1   193392.00
sembench-futex-8046    0            1   191351.00
sembench-futex-8077    0            1   194198.00
sembench-futex-8108    0            1   193651.00
sembench-futex-8139    0            1   194585.00
sembench-futex-8170    0            1   194261.00
sembench-futex-8201    0            1   193724.00
sembench-futex-8232    0            1   192045.00
sembench-futex-8263    0            1   194084.00
sembench-futex-8294    0            1   194215.00
sembench-futex-8325    0            1   193058.00
sembench-futex-8356    0            1   193418.00
sembench-futex-8387    0            1   192272.00
sembench-futex-8418    0            1   191779.00
sembench-futex-8449    0            1   191487.00
sembench-futex-8480    0            1   190905.00
sembench-futex-8511    0            1   193784.00
sembench-futex-8542    0            1   193731.00
sembench-futex-8573    0            1   193850.00
sembench-futex-8604    0            1   190382.00
sembench-futex-8635    0            1   193212.00
sembench-futex-8666    0            1   193748.00
sembench-futex-8697    0            1   194101.00
sembench-futex-8728    0            1   192706.00
sembench-futex-8759    0            1   192397.00
sembench-futex-8790    0            1   193028.00
sembench-futex-8821    0            1   191821.00
sembench-futex-8852    0            1   193586.00
sembench-futex-8883    0            1   192362.00
sembench-futex-8914    0            1   191459.00
sembench-futex-8945    0            1   193264.00
sembench-futex-8976    0            1   191562.00
sembench-futex-9007    0            1   193199.00
sembench-futex-9038    0            1   192983.00
sembench-futex-9069    0            1   189928.00
sembench-futex-9100    0            1   192190.00
sembench-futex-9131    0            1   189938.00
sembench-futex-9162    0            1   192817.00
sembench-futex-9193    0            1   191116.00
sembench-futex-9224    0            1   193165.00
sembench-futex-9255    0            1   193090.00
sembench-futex-9286    0            1   189234.00
sembench-futex-9317    0            1   189654.00
sembench-futex-9348    0            1   192564.00
sembench-futex-9379    0            1   189316.00
sembench-futex-9410    0            1   190942.00
sembench-futex-9441    0            1   191631.00
sembench-futex-9472    0            1   192636.00
sembench-futex-9503    0            1   191462.00
sembench-futex-9534    0            1   192584.00
sembench-futex-9565    0            1   192315.00
sembench-futex-9596    0            1   192599.00
sembench-futex-9627    0            1   190554.00
sembench-futex-9658    0            1   192516.00
sembench-futex-9689    0            1   192589.00
sembench-futex-9720    0            1   189863.00
sembench-futex-9751    0            1   191063.00
sembench-futex-9782    0            1   192179.00
sembench-futex-9813    0            1   191501.00
sembench-futex-9844    0            1   189993.00
sembench-futex-9875    0            1   191393.00
sembench-futex-9906    0            1   192054.00
sembench-futex-9937    0            1   191764.00
sembench-futex-9968    0            1   191842.00
sembench-futex-9999    0            1   189681.00
sembench-futex-10030   0            1   190664.00
sembench-futex-10061   0            1   191189.00
sembench-futex-10092   0            1   191881.00
sembench-futex-10123   0            1   190466.00
sembench-futex-10154   0            1   191957.00
sembench-futex-10185   0            1   191458.00
sembench-futex-10216   0            1   191422.00
sembench-futex-10240   0            1   192298.00
