
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        18       931513          1334        912475          1282        484561          2980
        31      1994960           658       1951680           981       1084155          2356
        44      1943968           709       1900270           863       1064553          2441
        56      1713320           868       1677207           572        943434          2053
        66      1597775           697       1561637           669        870511          1949
        76      1588471           552       1554461           599        870477          1766
        87      1560275           769       1523571           617        852799          1454
        97      1540270           728       1501574           496        836208          1613
       106      1522646           621       1484345           511        828558          1575
       112      1519738           564       1481600           461        827700          1339
       121      1519642           541       1481070           392        822116          1429
       128      1515688           467       1476139           474        838308          1474
       139      1518328           654       1475231           378        821566          1548
       145      1519120           509       1473636           458        820274          1365
       153      1516369           549       1473878           444        824451          1540
       159      1516270           542       1473126           403        821514          1394
       168      1516823           491       1474005           569        819554          1516
       175      1523644           641       1479986           421        814906          1436
       185      1517170           494       1471803           546        824309          1557
       190      1516486           464       1469229           332        818858          1388
       198      1520657           625       1475580           517        817966          1405
       205      1518371           595       1468122           378        815563          1341
       214      3041512           469       1473395           497        804202          1349
       225      1517176           490       1469041           498        805321          1411
       232      1525307           605       1474739           359        805454          1307
       242      1522390           470       1473215           477        810439          1415
       250      1528871           509       1476918           447        800032          1400
       258      1524001           433       1469600           578        807759          1365
       266      1521184           529       1464099           489        813467          1426
       273      1528052           475       1468105           500        800364          1338

Final score for writes:           273
Final score for reads :        523075

