
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       880034          1390        834509          1449        526284          2965
        41      1795102           991       1699127           826       1068190          2541
        55      1398003           690       1318596           737        842474          2142
        66      1627236           769       1519455           492        961813          1847
        75      1524226           641       1433576           650        906710          2012
        88      1500512           660       1414296           634        902717          1697
        99      1501744           742       1422097           542        894055          1529
       109      1485907           634       1408018           603        897388          1554
       116      1480261           739       1400301           486        889387          1549
       126      1486766           494       1408590           608        875726          1562
       135      1479813           550       1394373           483        886542          1623
       143      1486778           524       1404298           635        874530          1470
       152      1480938           636       1398808           516        874551          1619
       160      1475797           689       1387750           557        879552          1496
       169      1483611           591       1393575           544        863580          1523
       177      1488884           628       1398499           558        850923          1522
       185      1489039           619       1391917           679        855744          1548
       195      1497053           795       1401146           466        850425          1453
       205      1500883           613       1398746           551        842301          1340
       212      1498936           541       1400175           519        843583          1448
       219      1497538           569       1400785           474        843673          1454
       225      1499151           591       1399356           507        842451          1371
       234      1502346           751       1405107           334        838403          1424
       241      1499760           594       1399803           425        843887          1367
       249      1506580           572       1406043           502        828816          1391
       256      1504958           462       1400551           536        831253          1395
       265      1505618           580       1394968           563        832805          1438
       274      1505065           670       1397165           461        834017          1388
       282      1508284           632       1397229           423        823221          1444
       291      1508595           585       1398921           535        822696          1468

Final score for writes:           291
Final score for reads :        561945

