
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       401      1542070         20925       1057460         20520        293336         11415
       642      1706047         12811       1158749         12463        369576          6194
       922      1720336         14771       1171919         13758        330911          6546
      1170      1722972         13465       1168934         13053        335792          6441
      1436      1713913         13910       1173069         12875        334557          4863
      1706      1724254         13961       1179248         12869        319494          6539
      1959      3448395         12522       1161222         12987        327383          7942
      2200      1718657         13347       1155981         12131        328617          5928
      2462      1725005         13223       1149373         13672        330858          5467
      2726      1727834         14002       1172186         13436        323030          4760
      2944      1732061         11167       1174092         10810        316234          6823
      3146      1723889         10184       1162761         10383        332189          5685
      3309      1722350          9030       1172390          9242        339732          6081
      3322      1730410           708       1173559           749        338010          1717
      3340      1722578          1182       1171060           973        352454          2681
      3357      1714601          1178       1172277          1044        357654          2747
      3377      1719866          1392       1170962          1269        357435          3295
      3396      1705784          1473       1164810          1051        372200          3104
      3413      1707079          1299       1163089          1032        376124          2898
      3431      1710625          1275       1158630          1344        378862          3192
      3451      1701625          1478       1160077          1060        396572          3161
      3470      1691376          1252       1166628          1191        411136          3028
      3488      1692471          1257       1159512          1167        408109          2988
      3509      1686814          1463       1148035          1131        428824          3212
      3531      1680841          1360       1154877          1276        433429          3278
      3551      1683449          1329       1155215          1268        427844          3300
      3571      1675884          1484       1146771          1174        442786          3319
      3590      1669791          1391       1146287          1278        454354          3303
      3610      1672785          1182       1148587          1205        456522          2983
      3626      1664711          1389       1142336          1108        473757          3102

Final score for writes:          3626
Final score for reads :       1027952

