
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        39      1478312          2050       1152213          1891        823794          4146
        58      2266518          1219       1833079          1255       1220980          2724
        77      1718223          1105       1399379          1237        954454          2399
        94      1572580          1043       1328149           889        871447          2078
       113      1570280          1065       1330299          1037        875337          1814
       127      1532639          1136       1315044           959        856634          2201
       142      1521095           910       1309691           873        854355          1959
       154      1504498           758       1295852           731        844861          1840
       165      1492647           818       1277611           572        860379          2089
       176      1490660           805       1266103           603        858951          1871
       192      1499947          1052       1264493           920        853187          1773
       205      1495385           924       1263317           629        854656          1560
       219      1508231           783       1272660           786        833642          1758
       232      1499240           865       1263942           704        844311          1780
       244      1498883           826       1261366           702        847865          1554
       256      1485914           882       1249359           562        871710          1940
       265      1494488           800       1249232           409        857203          1452
       277      1495164           649       1244989           666        853440          1794
       289      1499093           831       1249962           854        844234          1664
       300      1501755           868       1260302           826        838960          1652
       313      1496854           715       1251698           872        850313          2006
       324      1493342           801       1249755           490        858704          1836
       337      1503215          1000       1256017           675        841102          1713
       350      1498570           974       1244256           674        846887          1663
       363      1496465          1048       1247812           774        843534          1669
       377      1497113           721       1253047           689        836780          1671
       388      1497841           946       1252948           782        841425          1559
       397      1505936           627       1261457           696        831126          1646
       410      1506110           818       1265572           721        824648          1812
       423      1506223           714       1260457           761        829619          1657

Final score for writes:           423
Final score for reads :        696801

