
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        27      1113292          1420        933870          1298        690340          3047
        43      1786374          1070       1560030          1005       1095901          2425
        58      1703106          1097       1511693           704       1037655          2359
        66      1616210           861       1421676           656        972146          1763
        81      1549829           982       1390909           710        928756          2018
        99      1519761           807       1378919           799        910971          1774
       110      1491204           801       1360879           775        892188          1819
       122      1484813           916       1354180           636        890418          1803
       135      1479028           875       1349872           537        876244          1764
       146      1476557           605       1348097           641        877176          1645
       158      1475488           740       1340204           544        880836          1539
       167      1481653           764       1341124           566        869075          1479
       175      1479197           697       1337939           669        870759          1494
       185      1482623           735       1336584           561        852841          1435
       195      1484498           716       1337899           570        857533          1506
       204      1484838           605       1340610           648        856593          1419
       212      1484811           646       1334414           655        853804          1499
       222      1483566           679       1341039           555        852695          1494
       233      1492991           651       1351369           701        840419          1473
       242      1486574           855       1350557           700        850918          1457
       251      1491301           650       1347807           533        845514          1462
       262      1486220           619       1342509           658        848082          1564
       271      1492185           765       1340209           572        842620          1559
       280      1493054           755       1348562           492        837210          1515
       291      1499434           556       1349485           570        826393          1430
       298      1496503           690       1353188           587        833842          1495
       308      1499537           784       1354290           532        824967          1546
       317      1501743           629       1353769           505        822670          1600
       323      1497376           557       1350500           462        832035          1460
       330      1500680           624       1350551           439        825147          1444

Final score for writes:           330
Final score for reads :        599861

