
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        20       934862          1362        896056          1192        548140          2866
        35      2019337           972       1931283           805       1175329          2696
        48      1522653           859       1454513           694        884559          2245
        61      1635357           770       1557152           599        936950          2142
        71      1535744           705       1467557           557        877860          1912
        81      1519273           684       1452795           644        877578          1652
        92      1522597           672       1456501           599        886538          1743
        99      1499649           549       1440566           695        879854          1597
       109      1492331           620       1433361           589        871042          1574
       115      1494264           659       1437208           429        869175          1596
       123      1496624           547       1441733           543        863893          1454
       133      1494951           576       1435598           503        869124          1440
       140      1488139           621       1430221           465        867468          1523
       147      1492806           615       1437915           483        848810          1536
       155      1503257           620       1437600           529        840587          1526
       164      1503633           508       1438206           516        840439          1525
       173      1500367           531       1434503           511        848150          1483
       181      1496517           566       1437353           543        844200          1337
       189      1500547           591       1427488           400        845241          1467
       198      1504552           563       1429001           468        838622          1385
       206      1505027           538       1428863           434        842806          1332
       216      1514854           635       1435484           407        818050          1403
       224      1515224           532       1432221           524        816622          1357
       232      1510492           454       1423509           569        825882          1415
       239      1513890           523       1437069           543        818920          1292
       247      1507414           572       1430317           433        826112          1321
       255      1509355           564       1431031           546        813349          1334
       265      1507786           576       1423724           427        825885          1361
       272      1514655           560       1428064           423        817249          1357
       279      1505329           632       1421961           383        818940          1363

Final score for writes:           279
Final score for reads :        544483

