
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       867586          1292        854944          1021        490260          2996
        35      2125730           898       2075838           771       1202241          2391
        48      1660061           780       1613446           663        940636          2322
        61      1609962           593       1565963           711        906971          2053
        70      1559649           735       1517307           527        873718          1863
        82      1549843           602       1508066           643        881352          1878
        94      1524768           609       1479981           581        861218          1635
       102      1506711           568       1461979           547        849692          1543
       110      1502685           639       1458361           443        856201          1552
       118      1508272           493       1466629           525        852707          1541
       123      1501388           515       1461174           544        837905          1543
       133      1508587           624       1463746           576        845630          1572
       142      1504250           433       1458422           599        846842          1472
       148      1500339           624       1455023           540        843885          1465
       157      1509517           485       1462681           521        827354          1523
       165      1503184           602       1454188           499        844069          1505
       174      1505877           608       1458679           502        831685          1585
       182      1500597           555       1451915           527        840769          1487
       188      1501178           544       1447309           425        840597          1460
       195      1508534           536       1453778           444        830962          1461
       203      1511857           541       1456690           525        825357          1414
       212      1509637           518       1448988           474        826178          1471
       221      1510902           575       1449661           501        822415          1420
       230      1511864           515       1453540           521        822325          1436
       239      1510704           490       1453682           575        818793          1341
       246      1513719           549       1451861           456        816514          1417
       254      1507262           669       1444580           381        826689          1337
       261      1518123           459       1451867           637        809357          1456
       269      1517506           517       1451186           451        812761          1316
       278      1518083           590       1450779           402        812103          1452

Final score for writes:           278
Final score for reads :        532989

