
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        37      1077252          1961        973143          2285        608113          4421
        63      1033300          1648        915963          1294        580797          3635
        81       965721          1102        831951          1341        543282          2996
        97       967629          1139        832833          1023        566831          2408
       119       959656          1388        808463          1008        548458          2551
       144       948783          1220        776426          1210        517554          2664
       164       937362          1389        768605          1255        525778          2764
       184       929072          1247        767782          1032        516855          2569
       201       935495          1121        773966          1246        508495          2582
       221       919354          1300        765581          1273        518330          2822
       237       925399          1181        773716          1079        508100          2537
       258       922253          1458        777195          1104        508132          2730
       279       918658          1444        783330           905        508677          2566
       300       919072          1401        776224          1018        509193          2422
       319       923002          1218        780377           770        504188          2322
       332       922892          1208        777017           938        506443          2274
       351       915645          1206        776161          1031        501438          2515
       366       922956          1003        782134           829        497906          2233
       381       921422          1295        782290           784        505831          2311
       403       920324          1342        779190           987        500794          2361
       419       921886          1061        778415           968        502202          2160
       436       917352          1170        774369           899        506499          2343
       451       915294          1086        766825           861        502955          2311
       466       921525          1036        775243           926        493981          2235
       485       912928          1182        768857          1049        504957          2387
       501       921201           948        776045           907        494363          2190
       518       918258          1041        774992           937        497967          2245
       536       921340          1096        773758           814        492947          2444
       547       922697          1112        769437           704        491384          2056
       563       921271          1162        767927           802        493116          2380

Final score for writes:           563
Final score for reads :        421735

