
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        17       754494          1167        739454           804        416490          2356
        31      1341101           886       1307582           828        738448          2414
        45      1063259           951       1032519           823        585562          2517
        59      1007534           705        972324           815        557391          2543
        70       986422           822        938361           745        559545          2524
        82       968316           837        924760           872        538984          2470
        95       964486           937        923937           457        531906          2231
       110       952799           739        907512           687        526001          1943
       123       944221           865        896821           745        531141          2280
       135       948136           817        892750           825        529262          2233
       146       938553           912        880506           834        524367          2211
       157       940925           978        883548           677        519968          2113
       167       933425           755        878333           689        518238          1997
       179       935848           819        877869           633        527754          2117
       190       938793           754        882308           858        524222          2240
       201       930870          1001        878385           768        514434          2157
       213       929074           788        879268           802        514953          2222
       228       928606           850        877351           727        520058          1993
       241       932055           932        882513           586        515808          1856
       255       930308           785        881452           784        513292          1972
       268       924019          1016        875620           873        509756          2326
       283       925173           846        877696           860        510220          2140
       294       925984           872        874974           627        509006          1950
       304       929578           800        876438           717        508136          1994
       317       934122           875        881744           740        502988          1904
       332       923799          1015        871358           778        510746          1991
       344       930409           946        878846           743        497549          1998
       354       931335           836       1758764           716        500439          2016
       366       930987           761        878034           750        505016          1799
       379       934262           883        880449           598        493236          1775

Final score for writes:           379
Final score for reads :        334967

