
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        15       689091          1208        682671           675        388409          2502
        31      1285025           638       1270017           979        705717          2504
        47      1012500           978        993598           788        557998          2478
        59       990969          1016        966178           762        533517          2139
        73       963903           851        936502           960        527954          2409
        87       954626           876        930502           834        519784          2464
       101       945517           877        918254           617        517796          2039
       111       942695           673        911376           674        503481          1979
       123       934193           684        901690           888        510090          2160
       137       933158           773        894420           885        511656          2221
       149       933878           986        891897           640        505281          2332
       157       927885           726        887297           677        501181          1992
       171       927072           988        884536           514        509911          2092
       181       931038           769        888007           672        507284          2185
       195       923620           936        883569           746        506917          2278
       209       922027           803        883980           913        509594          2307
       220       928944           872        891993           733        504825          2241
       231       921417           713        882577           680        500230          2052
       239       923164           686        884956           720        507220          2047
       251       916918           994        878666           659        506275          2241
       262       921471           918        883437           675        499387          2099
       272       920734           748        883212           862        501055          2246
       282       919280           688        882993           843        501151          2001
       293       915393           693        877377           674        501662          1918
       307       922296           863        884214           562        495984          1902
       317       924800           947        886180           691        493972          1978
       332       926341           928        887612           725        487366          1958
       345       919697           846        880582           708        488258          2033
       357       921318           762        881292           622        489011          1759
       366       922317           620        881308           705        495784          1829

Final score for writes:           366
Final score for reads :        321237

