
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        19       806782          1313        755976          1191        498174          2729
        36      1341846           886       1256353           964        809321          2420
        54      1050888          1091        963407          1016        649432          2635
        70       962422           958        870749           890        595837          2356
        86       942591           995        853817           971        572863          2296
       103       923909          1184       1691969           895        551472          2468
       116       922446          1041        831521           661        552639          2076
       130       924144           819        823026           871        552245          1790
       143       916230           981        809785           936        539740          2139
       158       910179           972        801014           717        542087          2233
       174       913142           863        811385           809        543524          2459
       189       908132           975        809133           911        539070          2075
       202       913196           972        814183           857        536594          2235
       215       899372           857        807045           802        537263          2093
       229       906501           946        808810           821        529758          2125
       243       900168           956        802705           944        536943          2270
       254       905923           795        810903           808        524770          2118
       266       903943           887        815366           711        524967          2176
       284       900155          1153        812287           862        525273          2444
       299       898948          1021        808026           773        522056          2271
       315       904752           844        810509          1012        520741          2329
       327       905971           940        807528           776        513898          2134
       341       899081           830        803406           839        512689          2101
       354       906987           869        812167           742        510961          2048
       365       906453           849        812512           683        504897          2137
       378       908902           811        813969           791        504341          2208
       389       904518           637        813807          1041        506774          1963
       404       907760          1046        817501           891        508148          2044
       415       902428           812        810267           726        504972          2140
       428       905171           908        812798           869        502090          1899

Final score for writes:           428
Final score for reads :        370585

