
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        16       658111          1022        640502          1043        372936          2145
        30      1070077           860       1041317           753        603517          2515
        45      1054948           935       1016652           901        608046          2181
        57      1002780           859        957627           800        584128          2366
        73       984486           999        924564           726        572776          2342
        88       969870           977        910412           897        558105          2250
        99       959589           891        900093           737        548481          2064
       112       946274           923        885247           749        545349          2135
       126       940701           984        875487           798        538623          2239
       141       942089          1036        868694           716        531936          2180
       155       940088           840        864339           938        535225          2167
       169       930964           878        858423           794        538161          2101
       181       936330           829        863913           713        540058          1895
       195       928617           985        859362           648        536117          2003
       207       926522           900        857322           891        528231          2352
       222       932805           805        867107           954        537645          2175
       236       926700           972        858785           768        529038          2215
       248       923302           813        858196           706        528680          2013
       260       925068           871        865744           838        526472          2181
       275       924580           837        861890           768        525498          2168
       290       922581           916        859163           876        525474          2387
       300       928065           802        858314           815        520116          1939
       312       931570           904        863362           778        512285          1973
       325       930272           735        864136           814        512236          1908
       339       929540           814        863677           664        514271          2104
       350       931424           833        864490           680        507122          2035
       362       927250           848        857938           689        515334          2083
       375       931295           836        861423           713        515253          1979
       386       930200           693        863243           729        506364          1805
       398       927712           764        860061           782        508276          1975

Final score for writes:           398
Final score for reads :        347150

