
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        15       729979           885        723385           939        379509          2116
        29      1063601           826       1053424           800        556566          2479
        41      1088821           855       1075191           825        584882          2463
        56      1018840           827        999540           758        537314          2374
        71       980542           811        958928           772        525773          2385
        85       963854           940        944960           741        509573          2535
        95       963375           951        942807           565        516967          2113
       106       952570           609        928994           659        505717          1814
       115       953248           870        929278           826        508732          2177
       126       951450           817        925391           864        505444          2361
       139       952905           969        924020           681        501963          2301
       149       952036           872        923312           713        503365          2139
       157       949366           764        922649           689        502803          1751
       170       940677           755        912436           822        500786          1943
       181       940457           982        910964           716        500997          2183
       193       941378           785        912755           782        495773          2174
       205       936476           993        908427           700        500345          2322
       214       938867           821        912378           637        498919          2113
       224       935455           961        906929           539        497219          2009
       235       936211           959        908153           709        498387          2249
       250       941144           873        912424           802        489411          2392
       262       935977           782        908503           866        500365          2262
       273       935561           807        907846           748        491644          2017
       285       934427           668        906811           736        494808          2062
       296       930319           726        900771           694        489640          1889
       306       939539           740        909224           608        490849          1844
       316       937140           797        905598           615        487942          1907
       325       940645           627        906687           633        485603          1875
       336       934510           717        901769           702        492844          1776
       347       932913           966        901188           540        486688          1847

Final score for writes:           347
Final score for reads :        311796

