
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       606       938269         30872        658735         32202        171041         15108
      1014      1030557         22277        738586         21865        196736         10078
      1441      1029869         21606        725240         20447        191540          9051
      1816      1032888         19610        715215         19406        186955          9166
      2200      1033191         19678        716371         20057        182666          7407
      2593      1032068         19989        718369         19682        176588          8546
      2963      1040168         18931        716720         19488        174544          7312
      3354      1037319         20555        713252         19705        173333          8013
      3745      1036471         19993        714306         19294        174780          7795
      4118      1030463         19295        710650         18899        180575         11278
      4503      1029596         18712        699606         20297        187164          8965
      4877      1032192         19708        713339         19027        183143          6684
      5251      1029382         19572        701779         19449        187403          7309
      5617      1033783         17926        707507         19563        178716          9069
      5987      1031883         20135        709222         18810        178292          9195
      6362      1033407         20378        709836         19203        179389          5654
      6713      1034777         19439        708905         18108        178197          6907
      7090      1034671         19098        708145         18382        173949          8265
      7468      1037382         18861        711794         18730        172293          8551
      7824      1036292         19300        708044         17871        173695          6942
      8193      1037143         18638        706646         19228        175812          6915
      8581      1034500         20087        705964         19769        176961          7448
      8957      1037164         18756        708933         19416        171830          7946
      9300      1039605         17439        707222         17670        168399          6847
      9653      1045780         18523        710365         18728        172149          8164
      9933      1023171         14704        703000         14433        166188          6010
     10210      1107181         14459        762080         14599        185158          7694
     10450       943391         12555        651203         11464        162467          5840
     10774      1038377         17466        708504         16144        170387          6987
     11051       906082         14503        619536         14490        154011          4362

Final score for writes:         11051
Final score for reads :        618639

