Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
50,27196.26,543.93,9.07,10.70,58.53,7.18,0.96,90.00,10.70,6.94
150,33551.11,223.67,3.73,26.02,179.42,24.11,2.09,91.00,26.02,17.03
250,31507.15,126.03,2.10,46.18,299.36,41.21,4.42,88.00,46.18,24.72
350,31165.85,89.05,1.48,65.36,423.75,58.85,6.34,88.00,65.36,33.02
450,31178.57,69.29,1.15,84.00,545.45,76.91,8.07,88.00,84.00,42.55
550,31901.53,58.00,0.97,100.34,667.32,93.85,10.69,87.00,100.34,39.27
