Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
50,27019.50,540.39,9.01,10.77,59.04,7.92,1.12,88.00,10.77,6.84
150,28754.94,191.70,3.19,30.36,182.35,25.08,2.03,91.00,30.36,16.91
250,30852.42,123.41,2.06,47.16,301.67,43.81,4.05,89.00,47.16,24.48
350,31004.57,88.58,1.48,65.70,424.12,58.48,6.65,87.00,65.70,31.48
450,31588.47,70.20,1.17,82.91,545.98,78.12,8.00,88.00,82.91,41.68
550,31499.70,57.27,0.95,101.62,666.52,94.58,10.39,87.00,101.62,50.76
