Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
50,25282.36,505.65,8.43,11.51,59.62,7.78,0.70,93.00,11.51,8.29
150,31111.90,207.41,3.46,28.06,180.59,25.24,2.22,90.00,28.06,16.71
250,31317.26,125.27,2.09,46.46,300.55,41.71,4.13,89.00,46.46,25.79
350,31464.32,89.90,1.50,64.74,417.62,56.23,6.62,87.00,64.74,31.02
450,31787.84,70.64,1.18,82.39,536.64,72.98,8.22,87.00,82.39,37.30
550,32229.16,58.60,0.98,99.32,656.93,87.21,10.94,86.00,99.32,42.82
