Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
50,26919.52,538.39,8.97,10.81,58.29,7.67,1.21,87.00,10.81,6.53
150,30663.86,204.43,3.41,28.47,178.14,25.36,1.94,91.00,28.47,18.72
250,32594.09,130.38,2.17,44.64,298.36,40.83,3.85,89.00,44.64,27.48
350,31406.11,89.73,1.50,64.86,417.68,55.93,6.47,87.00,64.86,32.32
450,31845.82,70.77,1.18,82.24,541.91,77.17,8.31,87.00,82.24,36.47
550,31605.45,57.46,0.96,101.28,665.02,94.12,10.52,87.00,101.28,40.00
