Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
50,25889.68,517.79,8.63,11.24,59.54,8.17,1.12,88.00,11.24,7.61
150,32868.98,219.13,3.65,26.56,180.60,26.04,2.14,90.00,26.56,17.60
250,31782.44,127.13,2.12,45.78,301.84,44.24,3.75,90.00,45.78,26.88
350,31014.01,88.61,1.48,65.68,421.55,59.60,6.69,87.00,65.68,30.14
450,31672.51,70.38,1.17,82.69,542.41,77.73,8.67,87.00,82.69,38.70
550,32570.21,59.22,0.99,98.28,664.81,92.12,10.81,86.00,98.28,44.97
