BUILD NAME,64,128,256,1024,2048,3312,4096,8192,163840,Operation,send-64,send-128,send-256,send-1024,send-2048,send-3312,send-4096,send-8192,send-163840,recv-64,recv-128,recv-256,recv-1024,recv-2048,recv-3312,recv-4096,recv-8192,recv-163840,loss-64,loss-128,loss-256,loss-1024,loss-2048,loss-3312,loss-4096,loss-8192,loss-163840
baseline,19863.6,6084.88,11570.3,42320.9,70138.7,94149.1,109609,172513,239583,0,358.14,713.78,1418.56,5675.61,10863,17705.6,21247,40059.1,73295.8,258.87,514.22,1023.92,4121.09,8008.17,13116.7,15878.8,29941,55873.9,99.27,199.56,394.64,1554.52,2854.81,4588.87,5368.1,10118.2,17421.9
,19863.6,6084.88,11570.3,42320.9,70138.7,94149.1,109609,172513,239583,0,358.14,713.78,1418.56,5675.61,10863,17705.6,21247,40059.1,73295.8,258.87,514.22,1023.92,4121.09,8008.17,13116.7,15878.8,29941,55873.9,99.27,199.56,394.64,1554.52,2854.81,4588.87,5368.1,10118.2,17421.9
Non_baseline,19863.6,6084.88,11570.3,42320.9,70138.7,94149.1,109609,172513,239583,0,358.14,713.78,1418.56,5675.61,10863,17705.6,21247,40059.1,73295.8,258.87,514.22,1023.92,4121.09,8008.17,13116.7,15878.8,29941,55873.9,99.27,199.56,394.64,1554.52,2854.81,4588.87,5368.1,10118.2,17421.9
