   Operation      Sample     Latency
4-i32-d0   0            2  1024325.00
4-i32-d0   0            3  1028341.60
4-i4-d0    0            1  1826858.00
4-i4-d0    0            2  2027510.80
4-i4-d0    0            3  1992818.20
4-i64-d0   0            1   795438.40
4-i64-d0   0            2   780511.60
4-i64-d0   0            3   799512.40
4-i8-d0    0            1  1646554.00
4-i8-d0    0            2  1714127.00
4-i8-d0    0            3  1719049.60
46-i1-d0   0            1  7497820.20
46-i1-d0   0            2  7617257.00
46-i1-d0   0            3  7861035.20
46-i16-d0  0            1  4907185.80
46-i16-d0  0            2  4861960.80
46-i16-d0  0            3  4926709.40
46-i2-d0   0            1  8834116.20
46-i2-d0   0            2  8664406.60
46-i2-d0   0            3  8742036.20
46-i32-d0  0            1  4079649.40
46-i32-d0  0            2  4133224.20
46-i32-d0  0            3  4170634.20
46-i4-d0   0            1  8612939.80
46-i4-d0   0            2  8360885.80
46-i4-d0   0            3  8432821.80
46-i64-d0  0            1  4775478.20
46-i64-d0  0            2  4901758.80
46-i64-d0  0            3  4729163.00
46-i8-d0   0            1  6794097.40
46-i8-d0   0            2  6705705.60
46-i8-d0   0            3  6666612.20
56-i1-d0   0            1  9371675.40
56-i1-d0   0            2  9169056.80
56-i1-d0   0            3  9328963.60
56-i16-d0  0            1  5845099.00
56-i16-d0  0            2  5798177.20
56-i16-d0  0            3  5835290.60
56-i2-d0   0            1  8478620.20
56-i2-d0   0            2  8344814.20
56-i2-d0   0            3  8349327.80
56-i32-d0  0            1  4996962.40
56-i32-d0  0            2  4965147.40
56-i32-d0  0            3  4988182.40
56-i4-d0   0            1  8356896.00
56-i4-d0   0            2  8242298.00
56-i4-d0   0            3  8370494.20
56-i64-d0  0            1  5894950.40
56-i64-d0  0            2  6008000.40
56-i64-d0  0            3  6262936.00
56-i8-d0   0            1  6870380.40
56-i8-d0   0            2  6753356.80
56-i8-d0   0            3  6867858.60
6-i1-d0    0            1  1318280.00
6-i1-d0    0            2  1385283.80
6-i1-d0    0            3  1362509.60
6-i16-d0   0            1  1448166.80
6-i16-d0   0            2  1445685.60
6-i16-d0   0            3  1450354.00
6-i2-d0    0            1  1806070.00
6-i2-d0    0            2  1783961.80
6-i2-d0    0            3  1833897.40
6-i32-d0   0            1  1323626.20
6-i32-d0   0            2  1331583.40
6-i32-d0   0            3  1328910.20
6-i4-d0    0            1  2336919.60
6-i4-d0    0            2  2263899.00
6-i4-d0    0            3  2374526.80
6-i64-d0   0            1   959482.60
6-i64-d0   0            2   911646.00
6-i64-d0   0            3   959536.40
6-i8-d0    0            1  2120198.80
6-i8-d0    0            2  2122201.20
6-i8-d0    0            3  2107366.00
68-i1-d0   0            1  9118770.40
68-i1-d0   0            2  9387330.00
68-i1-d0   0            3  9902021.00
68-i16-d0  0            1  6154056.40
68-i16-d0  0            2  6125056.00
68-i16-d0  0            3  6167751.60
68-i2-d0   0            1  8401181.00
68-i2-d0   0            2  8765708.20
68-i2-d0   0            3  8235256.00
68-i32-d0  0            1  5602102.20
68-i32-d0  0            2  5572469.80
68-i32-d0  0            3  5534953.60
