Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,702.05,702.05,11.70,8.29,0.82,0.25,0.00,100.00,8.29,8.29
5,4304.73,860.95,14.35,6.76,4.91,0.71,0.03,99.00,6.76,6.66
9,7691.63,854.63,14.24,6.81,9.31,1.41,0.11,98.00,6.81,6.43
13,10747.16,826.70,13.78,7.04,14.00,1.98,0.18,97.00,7.04,6.42
17,13156.91,773.94,12.90,7.52,18.83,2.70,0.21,97.00,7.52,6.67
21,15392.95,733.00,12.22,7.94,23.87,3.16,0.28,96.00,7.94,6.99
25,17679.22,707.17,11.79,8.23,28.38,3.96,0.38,95.00,8.23,6.74
29,20116.81,693.68,11.56,8.39,33.18,4.41,0.45,94.00,8.39,6.74
33,21459.22,650.28,10.84,8.95,37.88,4.92,0.53,93.00,8.95,6.45
