Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,700.36,700.36,11.67,8.31,0.82,0.23,0.00,100.00,8.31,8.31
5,4311.11,862.22,14.37,6.75,4.92,0.75,0.05,99.00,6.75,6.63
9,7748.52,860.95,14.35,6.76,9.56,1.34,0.06,99.00,6.76,6.59
13,10421.49,801.65,13.36,7.26,14.37,1.92,0.15,97.00,7.26,6.65
17,13244.98,779.12,12.99,7.47,18.86,2.62,0.25,96.00,7.47,6.51
21,15770.32,750.97,12.52,7.75,23.71,3.20,0.27,96.00,7.75,6.78
25,18233.08,729.32,12.16,7.98,28.35,3.87,0.36,95.00,7.98,6.57
29,19333.33,666.67,11.11,8.73,33.16,4.36,0.40,95.00,8.73,7.36
33,21652.76,656.14,10.94,8.87,38.32,4.65,0.70,91.00,8.87,6.37
