Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,699.52,699.52,11.66,8.32,0.81,0.26,0.00,100.00,8.32,8.32
5,4223.51,844.70,14.08,6.89,5.00,0.85,0.06,99.00,6.89,6.72
9,7748.52,860.95,14.35,6.76,9.41,1.29,0.10,98.00,6.76,6.50
13,10949.35,842.26,14.04,6.91,14.17,2.03,0.12,98.00,6.91,6.58
17,12899.61,758.80,12.65,7.67,18.96,2.47,0.27,96.00,7.67,6.66
21,15629.16,744.25,12.40,7.82,23.83,3.27,0.33,95.00,7.82,6.63
25,17280.29,691.21,11.52,8.42,28.55,3.57,0.55,92.00,8.42,6.27
29,18900.34,651.74,10.86,8.93,33.46,4.33,0.61,92.00,8.93,6.70
33,21128.71,640.26,10.67,9.09,37.82,4.72,0.75,90.00,9.09,6.19
