Forks,JPM,JPM_C,JPS_C,parent_tm,childU_tm,childS_tm,std_dev,JTI,max_c,min_c
1,700.36,700.36,11.67,8.31,0.79,0.26,0.00,100.00,8.31,8.31
5,4292.04,858.41,14.31,6.78,4.63,0.82,0.13,98.00,6.78,6.42
9,7691.63,854.63,14.24,6.81,9.44,1.34,0.07,98.00,6.81,6.60
13,10731.91,825.53,13.76,7.05,14.06,2.16,0.13,98.00,7.05,6.62
17,13087.30,769.84,12.83,7.56,19.03,2.55,0.25,96.00,7.56,6.54
21,15589.29,742.35,12.37,7.84,23.82,3.19,0.28,96.00,7.84,6.76
25,17615.01,704.60,11.74,8.26,28.56,3.66,0.47,93.00,8.26,6.83
29,19179.55,661.36,11.02,8.80,33.56,4.13,0.52,93.00,8.80,6.71
33,21628.38,655.41,10.92,8.88,38.07,4.72,0.63,92.00,8.88,6.50
